Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 23,Patrick Jones II,33478,Car,LB,,FA,Off Injured Reserve,Sun 1:00 pm @ Cle
Sep 23,Chauncey Golston,33472,NYG,"DT,DE",,FA,Off Injured Reserve,Sun 1:00 pm vs Ten
Sep 23,Paulson Adebo,33464,NYG,CB,IR,FA,Off Injured Reserve,Sun 1:00 pm vs Ten
Sep 23,Joseph Ossai,33457,NYJ,DE,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Det
Sep 23,Dayo Odeyingbo,33442,Chi,DE,,FA,Off Injured Reserve,Mon 8:15 pm vs Phi
Sep 23,Elijah Moore,33422,Phi,WR,,FA,Off Injured Reserve,Mon 8:15 pm @ Chi
Sep 23,Odafe Oweh,33419,Was,LB,,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Tyson Campbell,33421,Cle,CB,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Car
Sep 23,Greg Newsome II,33414,NYG,CB,,FA,Off Injured Reserve,Sun 1:00 pm vs Ten
Sep 23,Teair Tart,33347,LAC,DT,,FA,Off Injured Reserve,Sun 1:00 pm @ Buf
Sep 23,Christian Rozeboom,33261,TB,LB,,FA,Off Injured Reserve,Sun 4:05 pm vs Min
Sep 23,Juwan Johnson,33113,NO,TE,,Steel City,Off Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Kam Curl,32886,LAR,S,,FA,Off Injured Reserve,Sun 8:20 pm @ Den
Sep 23,Jauan Jennings,32887,Min,WR,,FA,Off Injured Reserve,Sun 4:05 pm @ TB
Sep 23,Khalid Kareem,32817,SF,"LB,DE",,FA,Off Injured Reserve,Sun 4:05 pm vs Ari
Sep 23,Jaylinn Hawkins,32804,Bal,S,,FA,Off Injured Reserve,Sun 4:25 pm @ Dal
Sep 23,L'Jarius Sneed,32808,KC,CB,Q,FA,Off Injured Reserve,Sun 1:00 pm @ Mia
Sep 23,Akeem Davis-Gaither,32777,Ind,LB,,FA,Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,Jonathan Greenard,32760,Phi,"LB,DE",Q,FA,Off Injured Reserve,Mon 8:15 pm @ Chi
Sep 23,Neville Gallimore,32752,Chi,DT,,FA,Off Injured Reserve,Mon 8:15 pm vs Phi
Sep 23,Nnamdi Madubuike,32741,Bal,"DT,DE",,FA,Off Injured Reserve,Sun 4:25 pm @ Dal
Sep 23,D'Andre Swift,32705,Chi,RB,,Owl Out Blitz,Off Injured Reserve,Mon 8:15 pm vs Phi
Sep 23,Noah Igbinoghene,32700,Cle,CB,,FA,Off Injured Reserve,Sun 1:00 pm vs Car
Sep 23,Michael Pittman Jr.,32704,Pit,WR,Q,Sunday Kevin,Off Injured Reserve,Sun 1:00 pm vs Cin
