Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Apr 6,Justin Watson,31114,Hou,WR,NA,FA,to AFC,Sun 1:00 pm @ Ind
Apr 6,Mazi Smith,40044,Mia,DT,NA,FA,to AFC,Sun 1:00 pm vs KC
Apr 6,Keondre Jackson,42471,Bal,S,,FA,to AFC,Sun 4:25 pm @ Dal
Apr 6,Dareke Young,34189,LV,WR,Q,FA,to AFC,Sun 4:25 pm @ NO
Apr 6,Darius Cooper,42464,Phi,WR,,FA,to NFC,Mon 8:15 pm @ Chi
Apr 6,Dane Belton,34070,NYJ,S,,FA,to AFC,Sun 1:00 pm @ Det
Apr 6,Jacob Martin,31156,Ten,DE,,FA,to AFC,Sun 1:00 pm @ NYG
Apr 6,DeMarvin Leal,34040,Pit,"LB,DE",NA,FA,to NFC,Sun 1:00 pm vs Cin
Apr 6,Kelee Ringo,40131,Phi,CB,,FA,to NFC,Mon 8:15 pm @ Chi
Apr 6,Benton Whitley,34332,Cle,"LB,DE",NA,FA,to NFC,Sun 1:00 pm vs Car
Apr 6,Devontez Walker,40991,Bal,WR,,FA,to AFC,Sun 4:25 pm @ Dal
Apr 6,Christian Gonzalez,40052,NE,CB,,FA,to AFC,Sun 1:00 pm @ Jax
Apr 6,Maurice Alexander,34712,Chi,WR,NA,FA,to NFC,Mon 8:15 pm vs Phi
Apr 6,Kirk Cousins,25812,LV,QB,,FA,to AFC,Sun 4:25 pm @ NO
Apr 6,Amar Johnson,42240,LAC,RB,NA,FA,to AFC,Sun 1:00 pm @ Buf
Apr 6,Nikola Kalinic,33950,Chi,TE,IR,FA,to NFC,Mon 8:15 pm vs Phi
Apr 6,L.J. Collier,31861,Ari,"DL,DE",,FA,to NFC,Sun 4:05 pm @ SF
Apr 6,Keon Coleman,40911,Buf,WR,Q,FA,to AFC,Sun 1:00 pm vs LAC
Apr 6,Maddux Trujillo,42125,Buf,K,NA,FA,to AFC,Sun 1:00 pm vs LAC
Apr 6,Eric Watts,41541,NYJ,DE,NA,FA,to AFC,Sun 1:00 pm @ Det
Apr 6,Samori Toure,34214,Phi,WR,NA,FA,to NFC,Mon 8:15 pm @ Chi
Apr 6,Jayden Reed,40063,GB,WR,O,Locked In Michelle,to NFC,Thu 8:15 pm vs Atl
Apr 6,James Ester,41459,Mia,DT,NA,FA,to NFC,Sun 1:00 pm vs KC
Apr 6,Akeem Davis-Gaither,32777,Ind,LB,,FA,to AFC,Sun 1:00 pm vs Hou
Apr 6,Daniel Thomas,32827,Cle,S,,FA,to AFC,Sun 1:00 pm vs Car
Apr 6,Jake Bobo,40452,Sea,WR,IR,FA,to NFC,Sun 1:00 pm @ Was
Apr 6,Johnny Wilson,41089,Phi,WR,IR,FA,to NFC,Mon 8:15 pm @ Chi
Apr 6,Jakorian Bennett,40148,Phi,CB,IR-R,FA,to NFC,Mon 8:15 pm @ Chi
Apr 6,Jalen Redmond,40572,Min,DT,Q,FA,to NFC,Sun 4:05 pm @ TB
Apr 6,Brittain Brown,34206,Chi,RB,IR,FA,to NFC,Mon 8:15 pm vs Phi
Apr 6,Jaelan Phillips,33406,Car,"LB,DE",Q,FA,to NFC,Sun 1:00 pm @ Cle
Apr 6,Jeremy McNichols,30275,Was,RB,IR-R,FA,to NFC,Sun 1:00 pm vs Sea
Apr 6,Cole Christiansen,32977,KC,LB,NA,FA,to AFC,Sun 1:00 pm @ Mia
Apr 6,Corey Kiner,42386,NE,RB,,FA,to NFC,Sun 1:00 pm @ Jax
Apr 6,Yaya Diaby,40107,TB,LB,,FA,to NFC,Sun 4:05 pm vs Min
Apr 6,Jalen Brooks,40257,Ari,WR,,FA,to NFC,Sun 4:05 pm @ SF
Apr 6,Ja'seem Reed,42497,Car,WR,NA,FA,to NFC,Sun 1:00 pm @ Cle
Apr 6,Chance Campbell,34175,Phi,LB,NA,FA,to NFC,Mon 8:15 pm @ Chi
Apr 6,Jahdae Barron,41805,Den,CB,,FA,to AFC,Sun 8:20 pm vs LAR
Apr 6,Patrick Ricard,30592,NYG,RB,,FA,to NFC,Sun 1:00 pm vs Ten
Apr 6,Emeka Egbuka,41804,TB,WR,,Monday Night Madison,to NFC,Sun 4:05 pm vs Min
Apr 6,Travis Kelce,26686,KC,TE,,Sunday Kevin,to AFC,Sun 1:00 pm @ Mia
Apr 6,Dillon Gabriel,41861,Cle,QB,IR-R,FA,to AFC,Sun 1:00 pm vs Car
Apr 6,David Moore,30339,Car,WR,NA,FA,to NFC,Sun 1:00 pm @ Cle
Apr 6,Malachi Moore,41895,NYJ,S,,FA,to AFC,Sun 1:00 pm @ Det
Apr 6,Kameron Johnson,41300,TB,WR,,FA,to NFC,Sun 4:05 pm vs Min
Apr 6,Mac Dalena,42107,Buf,WR,NA,FA,to AFC,Sun 1:00 pm vs LAC
Apr 6,Tyjae Spears,40119,Ten,RB,Q,FA,to AFC,Sun 1:00 pm @ NYG
