Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Ihmir Smith-Marsette,33545,Car,WR,NA,,Y,Sun 1:00 pm @ Cle
JaMycal Hasty,33199,NE,RB,NA,,N,Sun 1:00 pm @ Jax
Mekhi Mews,43166,NO,WR,NA,,N,Sun 4:25 pm vs LV
Ty Pezza,43002,Bal,TE,NA,,N,Sun 4:25 pm @ Dal
Nick Westbrook-Ikhine,33348,Ind,WR,NA,,N,Sun 1:00 pm vs Hou
Diego Pavia,43001,Bal,QB,NA,,N,Sun 4:25 pm @ Dal
Jonathan Ward,33088,Bal,RB,NA,,N,Sun 4:25 pm @ Dal
Malik Rutherford,42998,Atl,WR,NA,,N,Thu 8:15 pm @ GB
Dan Chisena,33023,Car,WR,NA,Undisclosed,N,Sun 1:00 pm @ Cle
Vinny Anthony II,42996,Atl,WR,NA,,N,Thu 8:15 pm @ GB
Isaiah Jacobs,43090,GB,RB,NA,,N,Thu 8:15 pm vs Atl
Danny Gray,34061,Phi,WR,NA,Undisclosed,N,Mon 8:15 pm @ Chi
Noah Short,42991,TB,WR,NA,,N,Sun 4:05 pm vs Min
Kevorian Barnes,43168,NYG,RB,NA,,N,Sun 1:00 pm vs Ten
Dameon Pierce,34063,Phi,RB,NA,,N,Mon 8:15 pm @ Chi
Eni Falayi,43088,GB,TE,NA,,N,Thu 8:15 pm vs Atl
Velus Jones Jr.,34027,Sea,"WR,RB",NA,,N,Sun 1:00 pm @ Was
Joseph Manjack,43076,Den,WR,NA,,N,Sun 8:20 pm vs LAR
Ja'Mori Maclin,43013,Buf,WR,NA,,N,Sun 1:00 pm vs LAC
Kobe Prentice,43022,NE,WR,NA,,N,Sun 1:00 pm @ Jax
Aaron Anderson,43052,Cle,WR,NA,Undisclosed,N,Sun 1:00 pm vs Car
TJ Harden,43051,Sea,RB,NA,,N,Sun 1:00 pm @ Was
Hank Beatty,43094,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Lake McRee,43036,Pit,TE,NA,,N,Sun 1:00 pm vs Cin
Chamon Metayer,43035,Car,TE,NA,,N,Sun 1:00 pm @ Cle
Gary Brightwell,33584,Cin,RB,NA,,N,Sun 1:00 pm @ Pit
Noah Thomas,43033,Cin,WR,NA,,N,Sun 1:00 pm @ Pit
Jaden Bradley,43092,Was,WR,NA,,N,Sun 1:00 pm vs Sea
Gabriel Plascencia,43025,Chi,K,NA,,N,Mon 8:15 pm vs Phi
Dominic Richardson,43034,NYJ,RB,NA,Undisclosed,N,Sun 1:00 pm @ Det
Elijah Mitchell,33582,KC,RB,NA,Undisclosed,N,Sun 1:00 pm @ Mia
Max Tomczak,43015,Buf,WR,NA,,N,Sun 1:00 pm vs LAC
Kristian Wilkerson,33349,Atl,WR,NA,,N,Thu 8:15 pm @ GB
Mason Kinsey,33351,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Irv Charles,34356,Sea,WR,IR-R,Undisclosed,N,Sun 1:00 pm @ Was
Christian Kirk,31017,SF,WR,IR-R,Calf,N,Sun 4:05 pm vs Ari
Jeremy McNichols,30275,Was,RB,IR-R,Quadriceps,N,Sun 1:00 pm vs Sea
David Sills V,32418,TB,WR,IR-R,Undisclosed,N,Sun 4:05 pm vs Min
Carter Runyon,42433,LV,TE,IR-R,Undisclosed,N,Sun 4:25 pm @ NO
Beaux Collins,42194,Atl,WR,IR-R,Undisclosed,N,Thu 8:15 pm @ GB
Will Mallory,40180,Ind,TE,IR-R,Thumb,N,Sun 1:00 pm vs Hou
Dillon Gabriel,41861,Cle,QB,IR-R,Back,N,Sun 1:00 pm vs Car
Grant Calcaterra,34154,Phi,TE,IR-R,Back,N,Mon 8:15 pm @ Chi
Scott Matlock,40225,LAC,RB,IR-R,Undisclosed,N,Sun 1:00 pm @ Buf
James Conner,30218,Ari,RB,IR-R,Foot,N,Sun 4:05 pm @ SF
Trevor Etienne,41913,Car,RB,IR-R,Ankle,N,Sun 1:00 pm @ Cle
Adam Randall,42780,Bal,RB,IR-R,Undisclosed,N,Sun 4:25 pm @ Dal
Savion Williams,41851,GB,WR,IR-R,Ankle,N,Thu 8:15 pm vs Atl
Tank Dell,40097,Hou,WR,IR-R,Knee - ACL + MCL,N,Sun 1:00 pm @ Ind
Jordyn Tyson,42630,NO,WR,IR-R,Hamstring,N,Sun 4:25 pm vs LV
Caleb Lohner,42027,Den,TE,IR-R,Lower Body,N,Sun 8:20 pm vs LAR
Myles Montgomery,43367,NE,RB,IR,Undisclosed,N,Sun 1:00 pm @ Jax
