Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Brandin Cooks,27548,SF,WR,NA,,N,Sun 4:05 pm vs Ari
Tanner Brown,40376,NO,K,NA,,N,Sun 4:25 pm vs LV
Teddy Bridgewater,27560,TB,QB,NA,Undisclosed,N,Sun 4:05 pm vs Min
Carlos Washington Jr.,40420,Mia,RB,NA,,N,Sun 1:00 pm vs KC
Malik Heath,40445,Atl,WR,NA,,N,Thu 8:15 pm @ GB
Jalin Hyatt,40128,NYG,WR,NA,,N,Sun 1:00 pm vs Ten
Shedrick Jackson,40491,Bal,WR,NA,,Y,Sun 4:25 pm @ Dal
Bryce Ford-Wheaton,40529,NYG,WR,NA,Achilles,N,Sun 1:00 pm vs Ten
Travis Vokolek,40643,Ari,TE,NA,,N,Sun 4:05 pm @ SF
Zavier Scott,40539,Chi,RB,NA,,N,Mon 8:15 pm vs Phi
Jason Brownlee,40545,KC,WR,NA,,N,Sun 1:00 pm @ Mia
Xavier Gipson,40548,Phi,WR,NA,,N,Mon 8:15 pm @ Chi
Deneric Prince,40570,NE,RB,NA,,N,Sun 1:00 pm @ Jax
Jordan Mims,40631,Phi,RB,NA,,N,Mon 8:15 pm @ Chi
Owen Wright,40639,Hou,RB,NA,,N,Sun 1:00 pm @ Ind
Jake Moody,40129,Bal,K,NA,,N,Sun 4:25 pm @ Dal
Michael Trigg,42887,Dal,TE,NA,,N,Sun 4:25 pm vs Bal
Cash Jones,42881,Atl,RB,NA,,N,Thu 8:15 pm @ GB
Samori Toure,34214,Phi,WR,NA,,N,Mon 8:15 pm @ Chi
Brady Boyd,42959,Jax,WR,NA,,N,Sun 1:00 pm vs NE
John FitzPatrick,34169,GB,TE,NA,Achilles,N,Thu 8:15 pm vs Atl
Alex Bullock,42957,Jax,WR,NA,Undisclosed,N,Sun 1:00 pm vs NE
Trebor Pena,42951,Jax,WR,NA,,N,Sun 1:00 pm vs NE
Michael Wortham,42950,Jax,WR,NA,,N,Sun 1:00 pm vs NE
Chris Oladokun,34197,KC,QB,NA,Undisclosed,N,Sun 1:00 pm @ Mia
Ben Patterson,42949,Cle,WR,NA,,N,Sun 1:00 pm vs Car
Keaontay Ingram,34157,KC,RB,NA,,N,Sun 1:00 pm @ Mia
Kevin Austin Jr.,34242,NO,WR,NA,,N,Sun 4:25 pm vs LV
Mason Shipley,42948,NO,K,NA,,N,Sun 4:25 pm vs LV
Roman Hemby,42941,LV,RB,NA,,N,Sun 4:25 pm @ NO
Lance McCutcheon,34330,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Luke Wysong,42938,Min,WR,NA,Undisclosed,N,Sun 4:05 pm @ TB
Jerand Bradley,42936,LAC,TE,NA,,N,Sun 1:00 pm @ Buf
Michael Woods II,34158,Den,WR,NA,Leg,N,Sun 8:20 pm vs LAR
Ethan Conner,42965,Mia,TE,NA,,N,Sun 1:00 pm vs KC
Devonte Ross,42930,LAC,WR,NA,,N,Sun 1:00 pm @ Buf
Harrison Wallace III,42979,Ari,WR,NA,,N,Sun 4:05 pm @ SF
Pierre Strong Jr.,34083,GB,RB,NA,Hamstring,N,Thu 8:15 pm vs Atl
Chris Hilton Jr.,42987,GB,WR,NA,,N,Thu 8:15 pm vs Atl
Hassan Haskins,34087,NE,RB,NA,,N,Sun 1:00 pm @ Jax
Robert Henry Jr.,42986,Was,RB,NA,,N,Sun 1:00 pm vs Sea
Bailey Zappe,34093,NYJ,QB,NA,,Y,Sun 1:00 pm @ Det
Kaidon Salter,42982,Ten,QB,NA,,N,Sun 1:00 pm @ NYG
Trent Battle,42978,Atl,RB,NA,,N,Thu 8:15 pm @ GB
Will Pauling,42969,SF,WR,NA,,N,Sun 4:05 pm vs Ari
Marcus Burke,42975,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Jerome Ford,34112,Min,RB,NA,,N,Sun 4:05 pm @ TB
Montrell Washington,34118,NYG,WR,NA,,N,Sun 1:00 pm vs Ten
Khalil Dinkins,42972,SF,TE,NA,,N,Sun 4:05 pm vs Ari
Teagan Quitoriano,34126,Ari,TE,NA,,N,Sun 4:05 pm @ SF
James Mitchell,34133,Dal,TE,NA,,N,Sun 4:25 pm vs Bal
Wesley Grimes,42970,SF,WR,NA,,N,Sun 4:05 pm vs Ari
Donovan Edwards,42226,Mia,RB,NA,,N,Sun 1:00 pm vs KC
Kendric Pryor,34476,Cin,WR,NA,,N,Sun 1:00 pm @ Pit
J'Mari Taylor,42882,Jax,RB,NA,,N,Sun 1:00 pm vs NE
Jaydn Ott,42895,KC,RB,NA,,N,Sun 1:00 pm @ Mia
Kejon Owens,42912,Min,RB,NA,Illness,N,Sun 4:05 pm @ TB
Miller Moss,42902,Chi,QB,NA,,N,Mon 8:15 pm vs Phi
Kyron Drones,42900,GB,QB,NA,,N,Thu 8:15 pm vs Atl
Luke Altmyer,42899,Det,QB,NA,,N,Sun 1:00 pm vs NYJ
Will Levis,40068,NYJ,QB,NA,,N,Sun 1:00 pm @ Det
Tyren Montgomery,42896,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Cedric Tillman,40093,NO,WR,NA,,N,Sun 4:25 pm vs LV
Shaleak Knotts,42917,Min,WR,NA,,N,Sun 4:05 pm @ TB
Sawyer Robertson,42893,LV,QB,NA,,N,Sun 4:25 pm @ NO
Le'Veon Moss,42890,Mia,RB,NA,Undisclosed,N,Sun 1:00 pm vs KC
Hendon Hooker,40096,Ten,QB,NA,,N,Sun 1:00 pm @ NYG
Jha'Quan Jackson,41065,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Dae'Quan Wright,42885,Cle,TE,NA,,N,Sun 1:00 pm vs Car
Chandler Morris,42883,TB,QB,NA,,N,Sun 4:05 pm vs Min
Marcus Sanders Jr.,42913,Min,WR,NA,,N,Sun 4:05 pm @ TB
Gregory Desrosiers,42922,LAC,RB,NA,,N,Sun 1:00 pm @ Buf
Zaire Mitchell-Paden,34489,Hou,TE,NA,,N,Sun 1:00 pm @ Ind
Dennis Houston,34592,TB,WR,NA,Groin,N,Sun 4:05 pm vs Min
Tanner Conner,34513,NE,TE,NA,,Y,Sun 1:00 pm @ Jax
Deven Thompkins,34520,LV,WR,NA,,N,Sun 4:25 pm @ NO
Sincere McCormick,34551,SF,RB,NA,,N,Sun 4:05 pm vs Ari
Kaden Davis,34569,Chi,WR,NA,,N,Mon 8:15 pm vs Phi
Brandon Johnson,34571,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Jalen Virgil,34579,Ari,WR,NA,Undisclosed,N,Sun 4:05 pm @ SF
Raheem Blackshear,34617,Det,RB,NA,Undisclosed,N,Sun 1:00 pm vs NYJ
Lucas Havrisik,34720,GB,K,NA,,N,Thu 8:15 pm vs Atl
Tucker Fisk,34625,LAC,TE,NA,,N,Sun 1:00 pm @ Buf
Stone Smartt,34637,NO,TE,NA,,N,Sun 4:25 pm vs LV
Lucas Krull,34654,Den,TE,NA,,N,Sun 8:20 pm vs LAR
Evan Svoboda,42927,LAC,TE,NA,,N,Sun 1:00 pm @ Buf
Jashaun Corbin,34665,Dal,RB,NA,,N,Sun 4:25 pm vs Bal
Sincere Brown,42925,LAC,WR,NA,Undisclosed,N,Sun 1:00 pm @ Buf
Maurice Alexander,34712,Chi,WR,NA,,N,Mon 8:15 pm vs Phi
Jawhar Jordan,41064,Hou,RB,NA,,N,Sun 1:00 pm @ Ind
Joshua Karty,41081,Ari,K,NA,,N,Sun 4:05 pm @ SF
Tanner McLachlan,41066,SF,TE,NA,Undisclosed,N,Sun 4:05 pm vs Ari
Caden Prieskorn,42243,Car,TE,NA,,N,Sun 1:00 pm @ Cle
Jakobie Keeney-James,42246,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Damien Martinez,42015,GB,RB,NA,,N,Thu 8:15 pm vs Atl
Phil Mafah,42018,NYG,RB,NA,,N,Sun 1:00 pm vs Ten
Kaden Prather,42020,GB,WR,NA,,N,Thu 8:15 pm vs Atl
Kye Robichaux,42245,Det,RB,NA,Foot,N,Sun 1:00 pm vs NYJ
Junior Bergen,42032,NYJ,WR,NA,,N,Sun 1:00 pm @ Det
Amar Johnson,42240,LAC,RB,NA,,N,Sun 1:00 pm @ Buf
Matt Prater,8565,Buf,K,NA,,N,Sun 1:00 pm vs LAC
Luke Lachey,42041,Hou,TE,NA,Foot,N,Sun 1:00 pm @ Ind
Ricky White III,42042,Sea,WR,NA,,N,Sun 1:00 pm @ Was
Dominic Lovett,42043,Det,WR,NA,,N,Sun 1:00 pm vs NYJ
JP Richardson,42047,Chi,WR,NA,,N,Mon 8:15 pm vs Phi
Jordan Moore,42057,Cin,WR,NA,,N,Sun 1:00 pm @ Pit
Hal Presley III,42060,KC,WR,NA,,N,Sun 1:00 pm @ Mia
Dontae Fleming,42255,Min,WR,NA,,Y,Sun 4:05 pm @ TB
Bryson Nesbit,42266,Min,TE,NA,Undisclosed,N,Sun 4:05 pm @ TB
Courtney Jackson,42071,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
CJ Dippre,42291,TB,TE,NA,,N,Sun 4:05 pm vs Min
Jaydon Blue,41935,Phi,RB,NA,,N,Mon 8:15 pm @ Chi
Mario Williams,42326,LAR,WR,NA,Undisclosed,N,Sun 8:20 pm @ Den
Brennan Presley,42322,LAR,WR,NA,,N,Sun 8:20 pm @ Den
Tru Edwards,42316,LAR,WR,NA,,N,Sun 8:20 pm @ Den
Cam Miller,41964,Mia,QB,NA,,N,Sun 1:00 pm vs KC
Brock Lampe,42293,Buf,RB,NA,,N,Sun 1:00 pm vs LAC
Gee Scott,42290,NE,WR,NA,Undisclosed,N,Sun 1:00 pm @ Jax
Tre Stewart,42271,Ari,RB,NA,,N,Sun 4:05 pm @ SF
Devin Neal,41972,NO,RB,NA,Hamstring,N,Sun 4:25 pm vs LV
Lan Larison,42284,NE,RB,NA,,N,Sun 1:00 pm @ Jax
Roc Taylor,42279,Car,WR,NA,,N,Sun 1:00 pm @ Cle
Kalel Mullings,41986,Ten,RB,NA,,N,Sun 1:00 pm @ NYG
JJ Galbreath,42275,Ind,TE,NA,,N,Sun 1:00 pm vs Hou
Bryce Pierre,42274,Car,TE,NA,,N,Sun 1:00 pm @ Cle
Jimmy Horn Jr.,41999,Cle,WR,NA,,N,Sun 1:00 pm vs Car
Stephen Gosnell,42062,Buf,WR,NA,,N,Sun 1:00 pm vs LAC
Joaquin Davis,42072,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Xavier Guillory,42340,Bal,WR,NA,,N,Sun 4:25 pm @ Dal
Nate Carter,42196,KC,RB,NA,,N,Sun 1:00 pm @ Mia
AJ Henning,42163,Mia,WR,NA,,N,Sun 1:00 pm vs KC
Jalin Conyers,42167,Mia,TE,NA,,N,Sun 1:00 pm vs KC
Montrell Johnson Jr.,42173,Car,RB,NA,,N,Sun 1:00 pm @ Cle
Nick Nash,42185,Was,WR,NA,,N,Sun 1:00 pm vs Sea
Joshua Simon,42186,Atl,TE,NA,,N,Thu 8:15 pm @ GB
Quincy Skinner Jr.,42187,GB,WR,NA,,N,Thu 8:15 pm vs Atl
Dalen Cambre,42200,NYG,WR,NA,,N,Sun 1:00 pm vs Ten
Theo Wease Jr.,42161,LAC,WR,NA,,N,Sun 1:00 pm @ Buf
Da'Quan Felton,42201,NYJ,WR,NA,Undisclosed,N,Sun 1:00 pm @ Det
Patrick Herbert,42204,LAC,TE,NA,,N,Sun 1:00 pm @ Buf
Seth Henigan,42205,Ind,QB,NA,,N,Sun 1:00 pm vs Hou
Chandler Brayboy,42210,NE,WR,NA,,N,Sun 1:00 pm @ Jax
Cam Camper,42212,NYJ,WR,NA,,N,Sun 1:00 pm @ Det
Ja'Quinden Jackson,42214,Phi,RB,NA,Undisclosed,N,Mon 8:15 pm @ Chi
Eli Pancol,42217,Ind,WR,NA,,Y,Sun 1:00 pm vs Hou
Andrew Armstrong,42162,KC,WR,NA,,N,Sun 1:00 pm @ Mia
Rivaldo Fairweather,42153,Ari,TE,NA,,N,Sun 4:05 pm @ SF
Max Brosmer,42075,Min,QB,NA,,N,Sun 4:05 pm @ TB
Bryson Green,42100,Ari,WR,NA,,N,Sun 4:05 pm @ SF
DJ Uiagalelei,42079,LAC,QB,NA,,N,Sun 1:00 pm @ Buf
Connor Bazelak,42084,TB,QB,NA,,N,Sun 4:05 pm vs Min
Josh Williams,42086,TB,RB,NA,,N,Sun 4:05 pm vs Min
Will Sheppard,42089,Mia,WR,NA,,N,Sun 1:00 pm vs KC
Garrett Greene,42091,TB,WR,NA,,N,Sun 4:05 pm vs Min
Ahmani Marshall,42092,Car,RB,NA,,N,Sun 1:00 pm @ Cle
Luke Grimm,42104,LAC,WR,NA,Undisclosed,N,Sun 1:00 pm @ Buf
Traeshon Holden,42151,Dal,WR,NA,,N,Sun 4:25 pm vs Bal
Mac Dalena,42107,Buf,WR,NA,,N,Sun 1:00 pm vs LAC
Anthony Tyus III,42235,Car,RB,NA,,N,Sun 1:00 pm @ Cle
Maddux Trujillo,42125,Buf,K,NA,,N,Sun 1:00 pm vs LAC
Ulysses Bentley IV,42126,Ind,RB,NA,,N,Sun 1:00 pm vs Hou
Coleman Owen,42130,Ind,WR,NA,Concussion,N,Sun 1:00 pm vs Hou
Jamaal Pritchett,42233,NYJ,WR,NA,,N,Sun 1:00 pm @ Det
Josh Kelly,42150,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Jordan Waters,42329,LAR,RB,NA,,N,Sun 8:20 pm @ Den
Tyrone Broden,42351,Sea,WR,NA,Undisclosed,N,Sun 1:00 pm @ Was
Casey Washington,41074,Car,WR,NA,,N,Sun 1:00 pm @ Cle
Jack Westover,41352,Was,"RB,TE",NA,,N,Sun 1:00 pm vs Sea
Bryce Oliver,41251,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Dayton Wade,41262,Bal,WR,NA,,N,Sun 4:25 pm @ Dal
Xavier Johnson,41274,Cin,WR,NA,,N,Sun 1:00 pm @ Pit
Lawrence Keys,41275,Buf,WR,NA,Leg,N,Sun 1:00 pm vs LAC
Layne Pryor,42612,Hou,TE,NA,,N,Sun 1:00 pm @ Ind
Ian Wheeler,41322,Buf,RB,NA,,N,Sun 1:00 pm vs LAC
Cam Grandy,41353,Min,TE,NA,,N,Sun 4:05 pm @ TB
Sam Hartman,41238,Was,QB,NA,,N,Sun 1:00 pm vs Sea
Treyton Welch,41363,NO,TE,NA,,N,Sun 4:25 pm vs LV
Mason Pline,41368,KC,TE,NA,,N,Sun 1:00 pm @ Mia
McCallan Castles,41373,GB,TE,NA,Undisclosed,N,Thu 8:15 pm vs Atl
Kendall Milton,41377,Cin,RB,NA,,N,Sun 1:00 pm @ Pit
Blake Watson,41388,Ten,RB,NA,,N,Sun 1:00 pm @ NYG
Joshua Cephus,41411,Jax,WR,NA,,N,Sun 1:00 pm vs NE
Frank Gore Jr.,41243,Buf,RB,NA,,N,Sun 1:00 pm vs LAC
Michael Wiley,41234,TB,RB,NA,,N,Sun 4:05 pm vs Min
Julian Hicks,41451,Sea,WR,NA,,N,Sun 1:00 pm @ Was
Tahj Washington,41104,Mia,WR,NA,,N,Sun 1:00 pm vs KC
Tejhaun Palmer,41079,NE,WR,NA,,N,Sun 1:00 pm @ Jax
Cade York,34080,NYJ,K,NA,,N,Sun 1:00 pm @ Det
Russell Wilson,25785,NYG,QB,NA,,N,Sun 1:00 pm vs Ten
Damien Alford,42622,NO,WR,NA,Undisclosed,N,Sun 4:25 pm vs LV
Brenden Rice,41098,LV,WR,NA,,N,Sun 4:25 pm @ NO
Cornelius Johnson,41099,Bal,WR,NA,,N,Sun 4:25 pm @ Dal
Jaheim Bell,41106,Pit,TE,NA,,N,Sun 1:00 pm vs Cin
JaQuae Jackson,41231,LAC,WR,NA,,N,Sun 1:00 pm @ Buf
Devin Culp,41120,TB,TE,NA,,N,Sun 4:05 pm vs Min
Carter Bradley,41133,Jax,QB,NA,Thumb,N,Sun 1:00 pm vs NE
John Rhys Plumlee,41135,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Cody Schrader,41193,Den,RB,NA,,N,Sun 8:20 pm vs LAR
Xavier Weaver,41202,Ari,WR,NA,Hamstring,N,Sun 4:05 pm @ SF
Austin Reed,41220,Bal,QB,NA,,N,Sun 4:25 pm @ Dal
Isaiah Wooden,41226,LAC,WR,NA,,N,Sun 1:00 pm @ Buf
Thomas Gordon,42571,Det,TE,NA,,N,Sun 1:00 pm vs NYJ
Messiah Swinson,41463,Cle,TE,NA,,N,Sun 1:00 pm vs Car
Marshall Lang,42353,Min,TE,NA,,N,Sun 4:05 pm @ TB
Tre Watson,42430,Mia,TE,NA,,N,Sun 1:00 pm vs KC
Kisean Johnson,42475,GB,WR,NA,,N,Thu 8:15 pm vs Atl
Josh Johnson,8937,Cin,QB,NA,,N,Sun 1:00 pm @ Pit
ShunDerrick Powell,42460,Phi,RB,NA,,N,Mon 8:15 pm @ Chi
Jermaine Terry,42446,Cle,TE,NA,,N,Sun 1:00 pm vs Car
Juice Wells Jr.,42444,Atl,WR,NA,,N,Thu 8:15 pm @ GB
Jacoby Jones,42436,Was,WR,NA,Undisclosed,N,Sun 1:00 pm vs Sea
Zach Horton,42420,Det,TE,NA,,N,Sun 1:00 pm vs NYJ
Ja'seem Reed,42497,Car,WR,NA,,N,Sun 1:00 pm @ Cle
Gage Larvadain,42417,Bal,WR,NA,,N,Sun 4:25 pm @ Dal
Deion Hankins,42403,Chi,RB,NA,,N,Mon 8:15 pm vs Phi
Isaiah Neyor,42385,GB,WR,NA,,N,Thu 8:15 pm vs Atl
Ben Sauls,42379,NYG,K,NA,Undisclosed,N,Sun 1:00 pm vs Ten
Xavier Restrepo,42368,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Jacardia Wright,42357,Sea,RB,NA,,N,Sun 1:00 pm @ Was
Jarquez Hunter,41919,Mia,RB,NA,,N,Sun 1:00 pm vs KC
Ja'Corey Brooks,42482,Was,WR,NA,Undisclosed,N,Sun 1:00 pm vs Sea
Luke Floriea,42507,Cle,WR,NA,,N,Sun 1:00 pm vs Car
Carson Steele,41464,Phi,RB,NA,,N,Mon 8:15 pm @ Chi
Jabari Small,41661,Det,RB,NA,,N,Sun 1:00 pm vs NYJ
Kedon Slovis,41476,GB,QB,NA,,N,Thu 8:15 pm vs Atl
Jaden Smith,42568,Dal,WR,NA,,N,Sun 4:25 pm vs Bal
Mitch Van Vooren,42547,NE,TE,NA,,N,Sun 1:00 pm @ Jax
Shawn Bowman,41512,Ari,TE,NA,,N,Sun 4:05 pm @ SF
Baylor Cupp,41556,Ari,TE,NA,,N,Sun 4:05 pm @ SF
Qadir Ismail,41562,Chi,TE,NA,,N,Mon 8:15 pm vs Phi
Hunter Dekkers,42537,NO,QB,NA,,N,Sun 4:25 pm vs LV
Dalevon Campbell,42519,LAC,WR,NA,Leg,N,Sun 1:00 pm @ Buf
Brenden Bates,41675,Jax,TE,NA,,Y,Sun 1:00 pm vs NE
John Jiles,41687,NE,WR,NA,,N,Sun 1:00 pm @ Jax
Lucas Scott,42531,Bal,RB,NA,,N,Sun 4:25 pm @ Dal
Terrell Jennings,41713,NE,RB,NA,Undisclosed,N,Sun 1:00 pm @ Jax
Lenny Krieg,41782,GB,K,NA,,N,Thu 8:15 pm vs Atl
Kyrese Rowan,42527,NO,WR,NA,,N,Sun 4:25 pm vs LV
Drake Dabney,42523,GB,TE,NA,,N,Thu 8:15 pm vs Atl
Erik Ezukanma,34081,Phi,WR,NA,,N,Mon 8:15 pm @ Chi
Dillon Bell,42914,Min,WR,NA,,N,Sun 4:05 pm @ TB
Zamir White,34078,NO,RB,NA,,N,Sun 4:25 pm vs LV
Jake Browning,32138,TB,QB,NA,,N,Sun 4:05 pm vs Min
Trayveon Williams,32014,Det,RB,NA,,N,Sun 1:00 pm vs NYJ
Elijah Tau-Tolliver,43268,Bal,RB,NA,,N,Sun 4:25 pm @ Dal
Juwann Winfree,32019,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Travis Homer,32036,Pit,RB,NA,,N,Sun 1:00 pm vs Cin
Scotty Miller,32040,Chi,WR,NA,,N,Mon 8:15 pm vs Phi
Jaden Nixon,43265,GB,RB,NA,,N,Thu 8:15 pm vs Atl
Alex Bachman,32124,LAR,WR,NA,,N,Sun 8:20 pm @ Den
Brett Rypien,32221,Hou,QB,NA,,N,Sun 1:00 pm @ Ind
Xavier Loyd,43281,KC,WR,NA,,N,Sun 1:00 pm @ Mia
Omari Evans,43261,KC,WR,NA,,N,Sun 1:00 pm @ Mia
Stephen Carlson,32273,Chi,TE,NA,,N,Mon 8:15 pm vs Phi
Jacob De Jesus,43258,KC,WR,NA,,N,Sun 1:00 pm @ Mia
Tyree Jackson,32415,Was,TE,NA,,N,Sun 1:00 pm vs Sea
Michael Briscoe,43242,Min,WR,NA,,N,Sun 4:05 pm @ TB
Trenton Irwin,32438,SF,WR,NA,,N,Sun 4:05 pm vs Ari
Chris Myarick,32442,LV,TE,NA,,N,Sun 4:25 pm @ NO
Patrick Gurd,43272,LV,TE,NA,,N,Sun 4:25 pm @ NO
Easton Stick,31998,TB,QB,NA,,N,Sun 4:05 pm vs Min
Levi Wentz,43241,Pit,WR,NA,,N,Sun 1:00 pm vs Cin
Jackson Acker,43331,Buf,RB,NA,,N,Sun 1:00 pm vs LAC
Mecole Hardman Jr.,31888,Buf,WR,NA,,N,Sun 1:00 pm vs LAC
Parris Campbell,31891,Dal,WR,NA,Undisclosed,N,Sun 4:25 pm vs Bal
Omari Kelly,43346,Chi,WR,NA,,N,Mon 8:15 pm vs Phi
Jamal Haynes,43345,Cin,RB,NA,,N,Sun 1:00 pm @ Pit
Kentrel Bullock,43342,Cin,RB,NA,,N,Sun 1:00 pm @ Pit
Lincoln Pare,43339,Ind,RB,NA,Undisclosed,N,Sun 1:00 pm vs Hou
Gabriel Benyard,43333,Car,WR,NA,,N,Sun 1:00 pm @ Cle
Will Grier,31932,Dal,QB,NA,Personal,N,Sun 4:25 pm vs Bal
Hunter Renfrow,31981,Car,WR,NA,,N,Sun 1:00 pm @ Cle
Alexander Mattison,31934,Mia,RB,NA,,N,Sun 1:00 pm vs KC
Hakeem Butler,31935,Den,WR,NA,,N,Sun 8:20 pm vs LAR
Jordon Vaughn,43329,Ind,RB,NA,,N,Sun 1:00 pm vs Hou
Gary Jennings,31952,LAC,WR,NA,,Y,Sun 1:00 pm @ Buf
E.J. Horton,43328,Ind,WR,NA,,N,Sun 1:00 pm vs Hou
Sahmir Hagans,43327,Ind,WR,NA,,N,Sun 1:00 pm vs Hou
Jonathan Brady,43287,LV,WR,NA,,N,Sun 4:25 pm @ NO
Donald Parham Jr.,32456,Pit,TE,NA,,N,Sun 1:00 pm vs Cin
Greg Dortch,32523,Buf,WR,NA,,N,Sun 1:00 pm vs LAC
Squirrel White,43349,Chi,WR,NA,Personal,N,Mon 8:15 pm vs Phi
Trevor Siemian,28638,Ten,QB,NA,,N,Sun 1:00 pm @ NYG
Antonio Gibson,32736,NE,RB,NA,Knee - ACL,N,Sun 1:00 pm @ Jax
Cortez Braham Jr.,43181,Bal,WR,NA,,N,Sun 4:25 pm @ Dal
Josiah Deguara,32764,Phi,TE,NA,,N,Mon 8:15 pm @ Chi
Octavian Smith Jr.,43180,Bal,WR,NA,,N,Sun 4:25 pm @ Dal
Harrison Bryant,32785,Hou,TE,NA,Undisclosed,N,Sun 1:00 pm @ Ind
A. Okwuegbunam Jr.,32788,LV,TE,NA,,N,Sun 4:25 pm @ NO
Gabe Davis,32798,Buf,WR,NA,Knee - ACL,N,Sun 1:00 pm vs LAC
Tyler Johnson,32831,NYJ,WR,NA,,N,Sun 1:00 pm @ Det
Denzel Mims,32729,Dal,WR,NA,,N,Sun 4:25 pm vs Bal
Jack Velling,43178,Atl,TE,NA,,N,Thu 8:15 pm @ GB
K.J. Osborn,32846,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Ethan Sanchez,43175,SF,K,NA,,N,Sun 4:05 pm vs Ari
Quez Watkins,32870,Phi,WR,NA,,N,Mon 8:15 pm @ Chi
James Proche II,32871,Ten,WR,NA,,N,Sun 1:00 pm @ NYG
Isaiah Hodgins,32877,Pit,WR,NA,,Y,Sun 1:00 pm vs Cin
Will Ferrin,43169,NYJ,K,NA,,N,Sun 1:00 pm @ Det
Dontae McMillan,43182,Bal,RB,NA,,N,Sun 4:25 pm @ Dal
Van Jefferson,32727,Was,WR,NA,,N,Sun 1:00 pm vs Sea
DeShawn Hanika,43239,Ind,TE,NA,,N,Sun 1:00 pm vs Hou
Brandon Aiyuk,32695,SF,WR,NA,Personal,N,Sun 4:05 pm vs Ari
Craig Reynolds,32596,Was,RB,NA,,N,Sun 1:00 pm vs Sea
D'Ernest Johnson,32608,Ten,RB,NA,,N,Sun 1:00 pm @ NYG
Sam Scott,43209,NYJ,RB,NA,,Y,Sun 1:00 pm @ Det
Quentin Moore,43206,Was,TE,NA,Undisclosed,N,Sun 1:00 pm vs Sea
Noah Whittington,43197,Hou,RB,NA,,N,Sun 1:00 pm @ Ind
Jalen Reagor,32691,Mia,WR,NA,,N,Sun 1:00 pm vs KC
Treyvhon Saunders,43196,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Daniel Sobkowicz,43195,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
Raheem Mostert,28654,LV,RB,NA,Knee,N,Sun 4:25 pm @ NO
Jalen Walthall,43193,NYJ,WR,NA,Undisclosed,N,Sun 1:00 pm @ Det
DeAndre Carter,28947,Cle,WR,NA,,N,Sun 1:00 pm vs Car
Sean Brown,43192,Den,WR,NA,,N,Sun 8:20 pm vs LAR
Dane Key,43188,Den,WR,NA,,N,Sun 8:20 pm vs LAR
Coleman Bennett,43187,Mia,RB,NA,,N,Sun 1:00 pm vs KC
Eric Rivers Jr.,42990,TB,WR,NA,,N,Sun 4:05 pm vs Min
Cam Akers,32722,Sea,RB,NA,,N,Sun 1:00 pm @ Was
Desmond Reid,43185,Buf,RB,NA,Undisclosed,N,Sun 1:00 pm vs LAC
Miles Sanders,31885,Dal,RB,NA,,N,Sun 4:25 pm vs Bal
Kenny Fletcher Jr.,43357,Ind,TE,NA,,N,Sun 1:00 pm vs Hou
Cody White,32948,LV,WR,NA,,N,Sun 4:25 pm @ NO
Trent Taylor,30290,SF,WR,NA,,N,Sun 4:05 pm vs Ari
Josh Reynolds,30230,NYJ,WR,NA,,N,Sun 1:00 pm @ Det
Kyre Duplessis,43458,Den,WR,NA,,N,Sun 8:20 pm vs LAR
Louis Hansen,43457,Hou,TE,NA,,N,Sun 1:00 pm @ Ind
Brandon Hayes,43451,Phi,WR,NA,,N,Mon 8:15 pm @ Chi
Heinrich Haarberg,43449,Car,TE,NA,,N,Sun 1:00 pm @ Cle
Nathan Peterman,30284,Atl,QB,NA,,N,Thu 8:15 pm @ GB
Miles Davis,43445,Car,RB,NA,,N,Sun 1:00 pm @ Cle
Zane Gonzalez,30337,Mia,K,NA,Undisclosed,N,Sun 1:00 pm vs KC
Jeremiah Franklin,43463,Mia,TE,NA,,N,Sun 1:00 pm vs KC
David Moore,30339,Car,WR,NA,,N,Sun 1:00 pm @ Cle
Anderson Castle,43443,Ind,RB,NA,,N,Sun 1:00 pm vs Hou
Noah Brown,30352,LV,WR,NA,,N,Sun 4:25 pm @ NO
Terrill Davis,43442,Min,WR,NA,,N,Sun 4:05 pm @ TB
Austin Ekeler,30423,Was,RB,NA,,Y,Sun 1:00 pm vs Sea
Younghoe Koo,30426,NYG,K,NA,,N,Sun 1:00 pm vs Ten
Mante Morrow,43441,LAC,WR,NA,,N,Sun 1:00 pm @ Buf
Malick Meiga,43460,Sea,WR,NA,,Y,Sun 1:00 pm @ Was
