Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Kolbe Katsis,43382,Den,WR,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,352",660,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Keelan Marion,43377,Atl,WR,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,464",656,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Le'Meke Brockington,43376,Atl,WR,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,426",655,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Octavian Smith Jr.,43180,Bal,WR,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,387",581,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Caullin Lacy,43165,NYJ,WR,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,368",574,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Tyren Montgomery,42896,Ten,WR,NA,Sun 1:00 pm @ NYG,FA,-,9,0.00,"2,310","1,128",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Quentin Skinner,42223,Buf,WR,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,359",894,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Eric Rivers Jr.,42990,TB,WR,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,449","1,184",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Chris Hilton Jr.,42987,GB,WR,NA,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,408","1,183",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Harrison Wallace III,42979,Ari,WR,NA,Sun 4:05 pm @ SF,FA,-,14,0.00,"2,403","1,180",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Marcus Burke,42975,Ten,WR,NA,Sun 1:00 pm @ NYG,FA,-,9,0.00,"2,385","1,177",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Wesley Grimes,42970,SF,WR,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,303","1,173",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Will Pauling,42969,SF,WR,NA,Sun 4:05 pm vs Ari,FA,-,8,0.00,"2,483","1,171",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Brady Boyd,42959,Jax,WR,NA,Sun 1:00 pm vs NE,FA,-,7,0.00,"2,362","1,166",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Trebor Pena,42951,Jax,WR,NA,Sun 1:00 pm vs NE,FA,-,7,0.00,"2,314","1,163",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Vinny Anthony II,42996,Atl,WR,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,296","1,187",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Michael Wortham,42950,Jax,WR,NA,Sun 1:00 pm vs NE,FA,-,7,0.00,"2,357","1,162",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ben Patterson,42949,Cle,WR,NA,Sun 1:00 pm vs Car,FA,-,11,0.00,"2,471","1,161",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Luke Wysong,42938,Min,WR,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,311","1,155",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Devonte Ross,42930,LAC,WR,NA,Sun 1:00 pm @ Buf,FA,-,7,0.00,"2,367","1,151",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Sincere Brown,42925,LAC,WR,NA,Sun 1:00 pm @ Buf,FA,-,7,0.00,"2,378","1,149",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Shaleak Knotts,42917,Min,WR,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,305","1,144",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Dillon Bell,42914,Min,WR,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,445","1,141",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
