player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury,status_col,updated,depth_chart,source_file
Lawrence Keys,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,Leg,Q,Sep 16 3:36 AM,Buf,game-day-calls.txt
Chris Collier,RB,RB,LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,IR,Sep 16 3:36 AM,LV,game-day-calls.txt
Raheem Mostert,RB,RB,LV,NA,LAC,away,Sun 4:05 pm,Knee,Q,Sep 16 3:36 AM,LV,game-day-calls.txt
Coleman Owen,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,Concussion,Q,Sep 16 3:36 AM,Ind,game-day-calls.txt
Jeshaun Jones,WR,WR,Min,SUSP,Chi,away,Sun 1:00 pm,Suspension,SUSP,Sep 16 3:36 AM,Min,game-day-calls.txt
Xavier Weaver,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,Hamstring,Q,Sep 16 3:36 AM,Ari,game-day-calls.txt
Mason Tipton,WR,WR,NO,P,Bal,away,Sun 1:00 pm,Leg,PUP-R,Sep 16 3:36 AM,NO,game-day-calls.txt
Carter Bradley,QB,QB,Jax,NA,Den,away,Sun 4:05 pm,Thumb,Q,Sep 16 3:36 AM,Jax,game-day-calls.txt
Johnny Wilson,WR,WR,Phi,IR,Ten,away,Sun 1:00 pm,Knee,IR,Sep 16 3:36 AM,Phi,game-day-calls.txt
Trey Sermon,RB,RB,Atl,IR,Car,home,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,Atl,game-day-calls.txt
Luke Grimm,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,Undisclosed,Q,Sep 16 3:36 AM,LAC,game-day-calls.txt
Da'Quan Felton,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Tanner McLachlan,TE,TE,SF,NA,Mia,home,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,SF,game-day-calls.txt
Connor Hulstein,TE,TE,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NYJ,game-day-calls.txt
Ja'Quinden Jackson,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Phi,game-day-calls.txt
Tyrone Tracy Jr.,RB,RB,NYG,Q,LAR,away,Mon 8:15 pm,Illness,Q,Sep 16 3:36 AM,NYG,game-day-calls.txt
Ainias Smith,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Car,game-day-calls.txt
Carter Runyon,TE,TE,LV,IR-R,LAC,away,Sun 4:05 pm,Undisclosed,IR-R,Sep 16 3:36 AM,LV,game-day-calls.txt
Audric Estime,RB,RB,NO,IR,Bal,away,Sun 1:00 pm,Thigh,IR,Sep 16 3:36 AM,NO,game-day-calls.txt
Jamari Thrash,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Cle,game-day-calls.txt
Patrick Taylor Jr.,RB,RB,SF,NA,Mia,home,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,SF,game-day-calls.txt
Jalen Coker,WR,WR,Car,Q,Atl,away,Sun 1:00 pm,Ankle,Q,Sep 16 3:36 AM,Car,game-day-calls.txt
McCallan Castles,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,GB,game-day-calls.txt
Isaac Guerendo,RB,RB,SF,P,Mia,home,Sun 4:25 pm,Pectoral,PUP-R,Sep 16 3:36 AM,SF,game-day-calls.txt
LeQuint Allen Jr.,RB,RB,Jax,Q,Den,away,Sun 4:05 pm,Hip,Q,Sep 16 3:36 AM,Jax,game-day-calls.txt
Tory Horton,WR,WR,Sea,Q,Ari,away,Sun 4:25 pm,Hamstring,Q,Sep 16 3:36 AM,Sea,game-day-calls.txt
KeAndre Lambert-Smith,WR,WR,LAC,IR,LV,home,Sun 4:05 pm,Hamstring,IR,Sep 16 3:36 AM,LAC,game-day-calls.txt
Devin Neal,RB,RB,NO,NA,Bal,away,Sun 1:00 pm,Hamstring,Q,Sep 16 3:36 AM,NO,game-day-calls.txt
Jaylin Lane,WR,WR,Was,Q,Dal,away,Sun 4:25 pm,Groin,Q,Sep 16 3:36 AM,Was,game-day-calls.txt
Graham Mertz,QB,QB,Hou,IR,Cin,home,Sun 1:00 pm,Knee - ACL,IR,Sep 16 3:36 AM,Hou,game-day-calls.txt
Trevor Etienne,RB,RB,Car,IR-R,Atl,away,Sun 1:00 pm,Ankle,IR-R,Sep 16 3:36 AM,Car,game-day-calls.txt
Dylan Sampson,RB,RB,Cle,IR,TB,away,Sun 1:00 pm,Knee,IR,Sep 16 3:36 AM,Cle,game-day-calls.txt
Dont'e Thornton Jr.,WR,WR,LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,IR,Sep 16 3:36 AM,LV,game-day-calls.txt
Dillon Gabriel,QB,QB,Cle,IR-R,TB,away,Sun 1:00 pm,Back,IR-R,Sep 16 3:36 AM,Cle,game-day-calls.txt
Moliki Matavao,TE,TE,NO,IR,Bal,away,Sun 1:00 pm,Knee,IR,Sep 16 3:36 AM,NO,game-day-calls.txt
Savion Williams,WR,WR,GB,IR-R,NYJ,away,Sun 1:00 pm,Ankle,IR-R,Sep 16 3:36 AM,GB,game-day-calls.txt
Thomas Yassmin,TE,TE,GB,IR,NYJ,away,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,GB,game-day-calls.txt
RJ Harvey,RB,RB,Den,Q,Jax,home,Sun 4:05 pm,Hamstring,Q,Sep 16 3:36 AM,Den,game-day-calls.txt
Teddy Bridgewater,QB,QB,TB,NA,Cle,home,Sun 1:00 pm,Undisclosed,RET,Sep 16 3:36 AM,TB,game-day-calls.txt
Jayden Higgins,WR,WR,Hou,IR,Cin,home,Sun 1:00 pm,Knee - ACL,IR,Sep 16 3:36 AM,Hou,game-day-calls.txt
Kyle Monangai,RB,RB,Chi,Q,Min,home,Sun 1:00 pm,Hamstring,Q,Sep 16 3:36 AM,Chi,game-day-calls.txt
Caleb Lohner,TE,TE,Den,IR-R,Jax,home,Sun 4:05 pm,Lower Body,IR-R,Sep 16 3:36 AM,Den,game-day-calls.txt
Terrell Jennings,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NE,game-day-calls.txt
Brenden Bates,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Cle,game-day-calls.txt
Alex Bullock,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,Undisclosed,RET,Sep 16 3:36 AM,Jax,game-day-calls.txt
Luke Lachey,TE,TE,Hou,NA,Cin,home,Sun 1:00 pm,Foot,Q,Sep 16 3:36 AM,Hou,game-day-calls.txt
Cole Burgess,WR,WR,Pit,IR,NE,away,Sun 1:00 pm,Undisclosed,IR,Sep 16 3:36 AM,Pit,game-day-calls.txt
Malick Meiga,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Car,game-day-calls.txt
Tyreek Hill,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,Knee - ACL,O,Sep 16 3:36 AM,Mia,game-day-calls.txt
