player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury,status_col,updated,depth_chart,source_file
Skyler Bell,WR,WR,Buf,,Det,home,Thu 8:15 pm,,,Sep 13 8:11 PM,Buf,game-day-calls.txt
Joe Fagnano,QB,QB,Bal,,NO,home,Sun 1:00 pm,,,Sep 13 8:11 PM,Bal,game-day-calls.txt
Haynes King,QB,QB,Car,,Atl,away,Sun 1:00 pm,,,Sep 13 8:11 PM,Car,game-day-calls.txt
John Metchie III,WR,WR,Car,,Atl,away,Sun 1:00 pm,,,Sep 13 8:11 PM,Car,game-day-calls.txt
Miller Moss,QB,QB,Chi,NA,Min,home,Sun 1:00 pm,,,Sep 13 8:11 PM,Chi,game-day-calls.txt
Reggie Virgil,WR,WR,Ari,,Sea,home,Sun 4:25 pm,,,Sep 13 8:06 PM,Ari,game-day-calls.txt
Carson Beck,QB,QB,Ari,,Sea,home,Sun 4:25 pm,,,Sep 13 8:06 PM,Ari,game-day-calls.txt
Bo Melton,WR,WR,GB,,NYJ,away,Sun 1:00 pm,,,Sep 13 4:31 AM,GB,game-day-calls.txt
Malik Nabers,WR,WR,NYG,,LAR,away,Mon 8:15 pm,,,Sep 13 3:56 AM,NYG,game-day-calls.txt
Jeremiyah Love,RB,RB,Ari,,Sea,home,Sun 4:25 pm,,,Sep 13 12:06 AM,Ari,game-day-calls.txt
Rome Odunze,WR,WR,Chi,,Min,home,Sun 1:00 pm,,,Sep 12 8:36 PM,Chi,game-day-calls.txt
Cooper Rush,QB,QB,Atl,,Car,home,Sun 1:00 pm,,,Sep 12 6:06 PM,Atl,game-day-calls.txt
Brenen Thompson,WR,WR,LAC,,LV,home,Sun 4:05 pm,,,Sep 11 2:51 AM,LAC,game-day-calls.txt
Keaton Mitchell,RB,RB,LAC,,LV,home,Sun 4:05 pm,,,Sep 11 2:51 AM,LAC,game-day-calls.txt
Will Kacmarek,TE,TE,Mia,,SF,away,Sun 4:25 pm,,,Sep 11 1:11 AM,Mia,game-day-calls.txt
Zachariah Branch,WR,WR,Atl,,Car,home,Sun 1:00 pm,,,Sep 10 11:06 PM,Atl,game-day-calls.txt
Jonathon Brooks,RB,RB,Car,,Atl,away,Sun 1:00 pm,,,Sep 10 10:21 PM,Car,game-day-calls.txt
Jacory Croskey-Merritt,RB,RB,Was,,Dal,away,Sun 4:25 pm,,,Sep 10 10:21 PM,Was,game-day-calls.txt
Patrick Mahomes,QB,QB,KC,,Ind,home,Sun 8:20 pm,,,Sep 10 2:06 AM,KC,game-day-calls.txt
Drew Ogletree,TE,TE,Ind,,KC,away,Sun 8:20 pm,,,Sep 10 1:06 AM,Ind,game-day-calls.txt
Kyle Juszczyk,RB,RB,SF,,Mia,home,Sun 4:25 pm,,,Sep 9 9:41 AM,SF,game-day-calls.txt
Ollie Gordon II,RB,RB,Mia,,SF,away,Sun 4:25 pm,,,Sep 9 6:06 AM,Mia,game-day-calls.txt
British Brooks,RB,RB,Hou,,Cin,home,Sun 1:00 pm,,,Sep 9 5:06 AM,Hou,game-day-calls.txt
Joshua Pitsenberger,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,,Sep 9 5:06 AM,Hou,game-day-calls.txt
Cameron Dicker,K,K,LAC,,LV,home,Sun 4:05 pm,,,Sep 9 4:26 AM,LAC,game-day-calls.txt
Marcus Mariota,QB,QB,Was,,Dal,away,Sun 4:25 pm,,,Sep 9 3:21 AM,Was,game-day-calls.txt
John Bates,TE,TE,Was,,Dal,away,Sun 4:25 pm,,,Sep 9 3:21 AM,Was,game-day-calls.txt
Ben Sinnott,TE,TE,Was,,Dal,away,Sun 4:25 pm,,,Sep 9 3:21 AM,Was,game-day-calls.txt
Kendre Miller,RB,RB,NO,,Bal,away,Sun 1:00 pm,,,Sep 9 3:16 AM,NO,game-day-calls.txt
Ashton Jeanty,RB,RB,LV,,LAC,away,Sun 4:05 pm,,,Sep 9 3:06 AM,LV,game-day-calls.txt
Jaylin Noel,WR,WR,Hou,,Cin,home,Sun 1:00 pm,,,Sep 9 2:56 AM,Hou,game-day-calls.txt
Tre' Harris,WR,WR,LAC,,LV,home,Sun 4:05 pm,,,Sep 9 2:56 AM,LAC,game-day-calls.txt
Rachaad White,RB,RB,Was,,Dal,away,Sun 4:25 pm,,,Sep 9 2:46 AM,Was,game-day-calls.txt
Tucker Kraft,TE,TE,GB,,NYJ,away,Sun 1:00 pm,,,Sep 9 2:41 AM,GB,game-day-calls.txt
Keon Coleman,WR,WR,Buf,,Det,home,Thu 8:15 pm,,,Sep 9 2:36 AM,Buf,game-day-calls.txt
Khalil Shakir,WR,WR,Buf,,Det,home,Thu 8:15 pm,,,Sep 9 2:36 AM,Buf,game-day-calls.txt
Emeka Egbuka,WR,WR,TB,,Cle,home,Sun 1:00 pm,,,Sep 9 2:06 AM,TB,game-day-calls.txt
Ja'Marr Chase,WR,WR,Cin,,Hou,away,Sun 1:00 pm,,,Sep 9 1:56 AM,Cin,game-day-calls.txt
Tee Higgins,WR,WR,Cin,,Hou,away,Sun 1:00 pm,,,Sep 9 1:56 AM,Cin,game-day-calls.txt
Josh Downs,WR,WR,Ind,,KC,away,Sun 8:20 pm,,,Sep 9 1:41 AM,Ind,game-day-calls.txt
Ben Skowronek,WR,WR,Pit,,NE,away,Sun 1:00 pm,,,Sep 9 1:41 AM,Pit,game-day-calls.txt
DK Metcalf,WR,WR,Pit,,NE,away,Sun 1:00 pm,,,Sep 9 1:36 AM,Pit,game-day-calls.txt
Wan'Dale Robinson,WR,WR,Ten,,Phi,home,Sun 1:00 pm,,,Sep 9 1:31 AM,Ten,game-day-calls.txt
Mitchell Trubisky,QB,QB,Ten,,Phi,home,Sun 1:00 pm,,,Sep 9 1:31 AM,Ten,game-day-calls.txt
Carnell Tate,WR,WR,Ten,,Phi,home,Sun 1:00 pm,,,Sep 9 1:31 AM,Ten,game-day-calls.txt
Theo Johnson,TE,TE,NYG,,LAR,away,Mon 8:15 pm,,,Sep 9 1:26 AM,NYG,game-day-calls.txt
Tyler Warren,TE,TE,Ind,,KC,away,Sun 8:20 pm,,,Sep 9 1:26 AM,Ind,game-day-calls.txt
Bhayshul Tuten,RB,RB,Jax,,Den,away,Sun 4:05 pm,,,Sep 9 1:26 AM,Jax,game-day-calls.txt
Luther Burden III,WR,WR,Chi,,Min,home,Sun 1:00 pm,,,Sep 9 1:16 AM,Chi,game-day-calls.txt
Breece Hall,RB,RB,NYJ,,GB,home,Sun 1:00 pm,,,Sep 9 1:16 AM,NYJ,game-day-calls.txt
Isaiah Davis,RB,RB,NYJ,,GB,home,Sun 1:00 pm,,,Sep 9 1:16 AM,NYJ,game-day-calls.txt
Kenyon Sadiq,TE,TE,NYJ,,GB,home,Sun 1:00 pm,,,Sep 9 1:16 AM,NYJ,game-day-calls.txt
Sam LaPorta,TE,TE,Det,,Buf,away,Thu 8:15 pm,,,Sep 9 1:06 AM,Det,game-day-calls.txt
Xavier Legette,WR,WR,Car,,Atl,away,Sun 1:00 pm,,,Sep 9 12:46 AM,Car,game-day-calls.txt
Chuba Hubbard,RB,RB,Car,,Atl,away,Sun 1:00 pm,,,Sep 9 12:41 AM,Car,game-day-calls.txt
Jacob Cowing,WR,WR,SF,,Mia,home,Sun 4:25 pm,,,Sep 8 5:06 AM,SF,game-day-calls.txt
Jack Stoll,TE,TE,SF,NA,Mia,home,Sun 4:25 pm,,,Sep 8 3:36 AM,SF,game-day-calls.txt
Puka Nacua,WR,WR,LAR,,NYG,home,Mon 8:15 pm,,,Sep 8 3:26 AM,LAR,game-day-calls.txt
Terrance Ferguson,TE,TE,LAR,,NYG,home,Mon 8:15 pm,,,Sep 8 3:26 AM,LAR,game-day-calls.txt
Mike Evans,WR,WR,SF,,Mia,home,Sun 4:25 pm,,,Sep 8 3:21 AM,SF,game-day-calls.txt
Christian McCaffrey,RB,RB,SF,,Mia,home,Sun 4:25 pm,,,Sep 8 3:21 AM,SF,game-day-calls.txt
Isaiah Bond,WR,WR,Cle,,TB,away,Sun 1:00 pm,,,Sep 6 11:26 PM,Cle,game-day-calls.txt
Emanuel Wilson,RB,RB,Sea,,Ari,away,Sun 4:25 pm,,,Sep 6 4:56 AM,Sea,game-day-calls.txt
Brayden Willis,TE,TE,SF,,Mia,home,Sun 4:25 pm,,,Sep 5 2:26 AM,SF,game-day-calls.txt
Brock Lampe,RB,RB,Buf,NA,Det,home,Thu 8:15 pm,,,Sep 3 3:16 AM,Buf,game-day-calls.txt
Kalel Mullings,RB,RB,Ten,NA,Phi,home,Sun 1:00 pm,,,Sep 2 9:06 AM,Ten,game-day-calls.txt
Cedric Tillman,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,,Sep 2 6:21 AM,NO,game-day-calls.txt
Kenneth Walker,RB,RB,KC,,Ind,home,Sun 8:20 pm,,,Sep 1 10:06 PM,KC,game-day-calls.txt
Brandon Smith,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,,Aug 31 2:26 AM,Pit,game-day-calls.txt
Cam Camper,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,,Aug 30 9:46 PM,NYJ,game-day-calls.txt
Jawhar Jordan,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,,Aug 30 8:56 PM,Hou,game-day-calls.txt
Ihmir Smith-Marsette,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,,,Aug 30 8:56 PM,Ari,game-day-calls.txt
Dayton Wade,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,,Aug 30 7:16 PM,Bal,game-day-calls.txt
Jalin Hyatt,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,,Aug 30 6:21 AM,NYG,game-day-calls.txt
Noah Whittington,RB,RB,Hou,NA,Cin,home,Sun 1:00 pm,,,Aug 30 4:49 AM,Hou,game-day-calls.txt
Britain Covey,WR,WR,Phi,,Ten,away,Sun 1:00 pm,,,Aug 30 4:49 AM,Phi,game-day-calls.txt
Chris Olave,WR,WR,NO,,Bal,away,Sun 1:00 pm,,,Aug 30 4:49 AM,NO,game-day-calls.txt
Phil Mafah,RB,RB,NYG,NA,LAR,away,Mon 8:15 pm,,,Aug 30 4:49 AM,NYG,game-day-calls.txt
Michael Trigg,TE,TE,Dal,NA,Was,home,Sun 4:25 pm,,,Aug 30 4:49 AM,Dal,game-day-calls.txt
Lan Larison,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,,,Aug 30 4:49 AM,NE,game-day-calls.txt
Xavier Worthy,WR,WR,KC,,Ind,home,Sun 8:20 pm,,,Aug 30 4:49 AM,KC,game-day-calls.txt
Anthony Gould,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,,,Aug 30 4:49 AM,Ind,game-day-calls.txt
Jabari Small,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,,,Aug 30 4:49 AM,Det,game-day-calls.txt
Elijah Higgins,TE,TE,Ari,,Sea,home,Sun 4:25 pm,,,Aug 30 4:49 AM,Ari,game-day-calls.txt
Quentin Johnston,WR,WR,LAC,,LV,home,Sun 4:05 pm,,,Aug 30 4:49 AM,LAC,game-day-calls.txt
Carsen Ryan,TE,TE,Cle,,TB,away,Sun 1:00 pm,,,Aug 30 4:49 AM,Cle,game-day-calls.txt
Sione Vaki,RB,RB,Det,,Buf,away,Thu 8:15 pm,,,Aug 30 4:49 AM,Det,game-day-calls.txt
Braxton Berrios,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,,Aug 30 4:49 AM,NYG,game-day-calls.txt
Tez Johnson,WR,WR,TB,,Cle,home,Sun 1:00 pm,,,Aug 30 4:49 AM,TB,game-day-calls.txt
Bub Means,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,,,Aug 25 12:36 AM,Cle,game-day-calls.txt
Quinshon Judkins,RB,RB,Cle,,TB,away,Sun 1:00 pm,,,Aug 24 11:26 PM,Cle,game-day-calls.txt
Cade Otton,TE,TE,TB,,Cle,home,Sun 1:00 pm,,,Aug 24 8:46 PM,TB,game-day-calls.txt
Parker Washington,WR,WR,Jax,,Den,away,Sun 4:05 pm,,,Aug 24 7:31 PM,Jax,game-day-calls.txt
Rasheen Ali,RB,RB,Bal,,NO,home,Sun 1:00 pm,,,Aug 24 3:11 AM,Bal,game-day-calls.txt
DeVonta Smith,WR,WR,Phi,,Ten,away,Sun 1:00 pm,,,Aug 23 9:51 PM,Phi,game-day-calls.txt
Makai Lemon,WR,WR,Phi,,Ten,away,Sun 1:00 pm,,,Aug 23 9:51 PM,Phi,game-day-calls.txt
Dameon Pierce,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,,Aug 23 9:26 PM,Phi,game-day-calls.txt
Chris Bell,WR,WR,Mia,,SF,away,Sun 4:25 pm,,,Aug 23 8:06 PM,Mia,game-day-calls.txt
Jaydon Blue,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,,Aug 22 9:11 AM,Phi,game-day-calls.txt
Kevin Coleman Jr.,WR,WR,Mia,,SF,away,Sun 4:25 pm,,,Aug 22 3:56 AM,Mia,game-day-calls.txt
Max Brosmer,QB,QB,Min,NA,Chi,away,Sun 1:00 pm,,,Aug 22 3:11 AM,Min,game-day-calls.txt
Trayveon Williams,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,,,Aug 22 12:51 AM,Det,game-day-calls.txt
Jacob Saylors,RB,RB,Det,,Buf,away,Thu 8:15 pm,,,Aug 22 12:06 AM,Det,game-day-calls.txt
DJ Moore,WR,WR,Buf,,Det,home,Thu 8:15 pm,,,Aug 19 11:21 PM,Buf,game-day-calls.txt
Brenden Rice,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,,Aug 19 2:56 AM,LV,game-day-calls.txt
Jameson Williams,WR,WR,Det,,Buf,away,Thu 8:15 pm,,,Aug 19 2:06 AM,Det,game-day-calls.txt
Bryce Lance,WR,WR,NO,,Bal,away,Sun 1:00 pm,,,Aug 19 1:56 AM,NO,game-day-calls.txt
Jaylen Waddle,WR,WR,Den,,Jax,home,Sun 4:05 pm,,,Aug 18 9:56 PM,Den,game-day-calls.txt
Tony Pollard,RB,RB,Ten,,Phi,home,Sun 1:00 pm,,,Aug 18 8:26 PM,Ten,game-day-calls.txt
Tank Bigsby,RB,RB,Phi,,Ten,away,Sun 1:00 pm,,,Aug 18 7:51 PM,Phi,game-day-calls.txt
Tyquan Thornton,WR,WR,KC,,Ind,home,Sun 8:20 pm,,,Aug 18 7:41 PM,KC,game-day-calls.txt
Ronnie Bell,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,,Aug 18 4:31 AM,LV,game-day-calls.txt
Kaelon Black,RB,RB,SF,,Mia,home,Sun 4:25 pm,,,Aug 18 1:11 AM,SF,game-day-calls.txt
Zavion Thomas,WR,WR,Chi,,Min,home,Sun 1:00 pm,,,Aug 17 10:51 PM,Chi,game-day-calls.txt
J.K. Dobbins,RB,RB,Den,,Jax,home,Sun 4:05 pm,,,Aug 17 10:36 PM,Den,game-day-calls.txt
Nick Mullens,QB,QB,Jax,NA,Den,away,Sun 4:05 pm,,,Aug 17 7:21 PM,Jax,game-day-calls.txt
Geno Smith,QB,QB,NYJ,,GB,home,Sun 1:00 pm,,,Aug 17 6:41 PM,NYJ,game-day-calls.txt
Caleb Douglas,WR,WR,Mia,,SF,away,Sun 4:25 pm,,,Aug 17 6:26 PM,Mia,game-day-calls.txt
Garrett Wilson,WR,WR,NYJ,,GB,home,Sun 1:00 pm,,,Aug 17 6:06 PM,NYJ,game-day-calls.txt
Khalil Dinkins,TE,TE,SF,NA,Mia,home,Sun 4:25 pm,,,Aug 17 5:36 AM,SF,game-day-calls.txt
Jadarian Price,RB,RB,Sea,,Ari,away,Sun 4:25 pm,,,Aug 17 3:06 AM,Sea,game-day-calls.txt
Blake Watson,RB,RB,Ten,NA,Phi,home,Sun 1:00 pm,,,Aug 17 1:11 AM,Ten,game-day-calls.txt
Craig Reynolds,RB,RB,Was,NA,Dal,away,Sun 4:25 pm,,,Aug 16 7:06 PM,Was,game-day-calls.txt
Jake Browning,QB,QB,TB,NA,Cle,home,Sun 1:00 pm,,,Aug 16 6:16 PM,TB,game-day-calls.txt
Michael Wiley,RB,RB,TB,NA,Cle,home,Sun 1:00 pm,,,Aug 16 3:16 AM,TB,game-day-calls.txt
Gavin Bartholomew,TE,TE,Min,,Chi,away,Sun 1:00 pm,,,Aug 15 10:41 PM,Min,game-day-calls.txt
Kaden Wetjen,WR,WR,Pit,,NE,away,Sun 1:00 pm,,,Aug 15 8:26 PM,Pit,game-day-calls.txt
Marquez Valdes-Scantling,WR,WR,LAC,,LV,home,Sun 4:05 pm,,,Aug 15 8:26 AM,LAC,game-day-calls.txt
Jordan Addison,WR,WR,Min,,Chi,away,Sun 1:00 pm,,,Aug 15 7:31 AM,Min,game-day-calls.txt
Josh Reynolds,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,,Aug 15 1:21 AM,NYJ,game-day-calls.txt
Jaxson Dart,QB,QB,NYG,,LAR,away,Mon 8:15 pm,,,Aug 14 10:46 PM,NYG,game-day-calls.txt
Jaleel McLaughlin,RB,RB,Cle,,TB,away,Sun 1:00 pm,,,Aug 14 5:36 AM,Cle,game-day-calls.txt
Laquon Treadwell,WR,WR,Ind,,KC,away,Sun 8:20 pm,,,Aug 13 9:41 PM,Ind,game-day-calls.txt
Jahmyr Gibbs,RB,RB,Det,,Buf,away,Thu 8:15 pm,,,Aug 13 6:31 PM,Det,game-day-calls.txt
Tyjae Spears,RB,RB,Ten,,Phi,home,Sun 1:00 pm,,,Aug 13 9:11 AM,Ten,game-day-calls.txt
Darren Waller,TE,TE,Car,,Atl,away,Sun 1:00 pm,,,Aug 12 5:36 AM,Car,game-day-calls.txt
Trevor Siemian,QB,QB,Ten,NA,Phi,home,Sun 1:00 pm,,,Aug 12 2:51 AM,Ten,game-day-calls.txt
Matthew Golden,WR,WR,GB,,NYJ,away,Sun 1:00 pm,,,Aug 10 9:06 PM,GB,game-day-calls.txt
Jayden Reed,WR,WR,GB,,NYJ,away,Sun 1:00 pm,,,Aug 10 8:56 PM,GB,game-day-calls.txt
Greg Dulcich,TE,TE,Mia,,SF,away,Sun 4:25 pm,,,Aug 10 12:56 AM,Mia,game-day-calls.txt
Nate Adkins,TE,TE,Den,,Jax,home,Sun 4:05 pm,,,Aug 9 8:56 PM,Den,game-day-calls.txt
Chris Brooks,RB,RB,GB,,NYJ,away,Sun 1:00 pm,,,Aug 8 9:26 PM,GB,game-day-calls.txt
Elic Ayomanor,WR,WR,Ten,,Phi,home,Sun 1:00 pm,,,Aug 7 4:36 AM,Ten,game-day-calls.txt
Cyrus Allen,WR,WR,KC,,Ind,home,Sun 8:20 pm,,,Aug 6 7:11 PM,KC,game-day-calls.txt
Romeo Doubs,WR,WR,NE,,Pit,home,Sun 1:00 pm,,,Aug 6 6:36 PM,NE,game-day-calls.txt
Bryce Pierre,TE,TE,Car,NA,Atl,away,Sun 1:00 pm,,,Aug 6 3:51 AM,Car,game-day-calls.txt
Michael Mayer,TE,TE,LV,,LAC,away,Sun 4:05 pm,,,Aug 5 9:56 PM,LV,game-day-calls.txt
Josh Kattus,TE,TE,Cin,NA,Hou,away,Sun 1:00 pm,,,Aug 5 7:06 PM,Cin,game-day-calls.txt
Jermaine Terry,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,,,Aug 5 3:26 AM,Cle,game-day-calls.txt
Tyler Conklin,TE,TE,Det,,Buf,away,Thu 8:15 pm,,,Aug 5 3:21 AM,Det,game-day-calls.txt
Cam Grandy,TE,TE,Min,NA,Chi,away,Sun 1:00 pm,,,Aug 5 2:46 AM,Min,game-day-calls.txt
KC Concepcion Jr.,WR,WR,Cle,,TB,away,Sun 1:00 pm,,,Aug 5 12:56 AM,Cle,game-day-calls.txt
Ben VanSumeren,RB,RB,KC,,Ind,home,Sun 8:20 pm,,,Aug 4 9:51 PM,KC,game-day-calls.txt
CJ Dippre,TE,TE,TB,NA,Cle,home,Sun 1:00 pm,,,Aug 4 8:21 PM,TB,game-day-calls.txt
Zach Ertz,TE,TE,Was,NA,Dal,away,Sun 4:25 pm,,,Aug 4 6:56 PM,Was,game-day-calls.txt
Chris Rodriguez Jr.,RB,RB,Jax,,Den,away,Sun 4:05 pm,,,Aug 3 2:46 AM,Jax,game-day-calls.txt
Joseph Manjack,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,,Aug 3 12:06 AM,Den,game-day-calls.txt
Josh Oliver,TE,TE,Min,,Chi,away,Sun 1:00 pm,,,Aug 2 5:46 PM,Min,game-day-calls.txt
Donald Parham Jr.,TE,TE,Pit,NA,NE,away,Sun 1:00 pm,,,Aug 1 1:51 AM,Pit,game-day-calls.txt
Cody Hardy,TE,TE,NO,NA,Bal,away,Sun 1:00 pm,,,Jul 31 2:41 AM,NO,game-day-calls.txt
Mitchell Evans,TE,TE,Car,,Atl,away,Sun 1:00 pm,,,Jul 31 12:41 AM,Car,game-day-calls.txt
Kenny McIntosh,RB,RB,Sea,NA,Ari,away,Sun 4:25 pm,,,Jul 20 1:21 AM,Sea,game-day-calls.txt
Quentin Skinner,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,,Jul 13 3:06 AM,Buf,game-day-calls.txt
Montrell Johnson Jr.,RB,RB,Car,NA,Atl,away,Sun 1:00 pm,,,May 20 2:06 AM,,game-day-calls.txt
