player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury_type,depth_chart,source_file
Ja'Lynn Polk,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,Undisclosed,NO,injury-report.txt
Malik Rutherford,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Travis Vokolek,TE,TE,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Jordan Mims,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Anthony Smith,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Harrison Wallace III,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Elijah Cooks,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Marcus Burke,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Tanner Brown,K,K,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Carlos Washington Jr.,RB,RB,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Malik Heath,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Trent Battle,RB,RB,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Isaiah Winstead,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Kaidon Salter,QB,QB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Shedrick Jackson,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Bryce Ford-Wheaton,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,Achilles,NYG,injury-report.txt
Zavier Scott,RB,RB,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Jason Brownlee,WR,WR,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Xavier Gipson,WR,WR,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Deneric Prince,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Lewis Bond,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Will Pauling,WR,WR,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Hendon Hooker,QB,QB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Sincere Brown,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,Undisclosed,LAC,injury-report.txt
Joey Aguilar,QB,QB,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Lance McCutcheon,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Kejon Owens,RB,RB,Min,NA,Chi,away,Sun 1:00 pm,Illness,Min,injury-report.txt
Marcus Sanders Jr.,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Brady Boyd,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Dillon Bell,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Josh Kelly,WR,WR,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Hassan Haskins,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Shaleak Knotts,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Samori Toure,WR,WR,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Chris Oladokun,QB,QB,KC,NA,Ind,home,Sun 8:20 pm,Undisclosed,KC,injury-report.txt
Alex Bullock,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,Undisclosed,Jax,injury-report.txt
Bailey Zappe,QB,QB,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Gregory Desrosiers,RB,RB,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Evan Svoboda,TE,TE,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Kyron Drones,QB,QB,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
