player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury_type,depth_chart,source_file
Matt Lauter,TE,TE,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
Kyle Dixon,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Mason Kinsey,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Kristian Wilkerson,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Nick Westbrook-Ikhine,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Salvon Ahmed,RB,RB,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Malik McClain,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Patrick Taylor Jr.,RB,RB,SF,NA,Mia,home,Sun 4:25 pm,Undisclosed,SF,injury-report.txt
E.J. Williams Jr.,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Jacob Clark,QB,QB,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Chase Roberts,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,Undisclosed,LV,injury-report.txt
JaMycal Hasty,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Sean McKeon,TE,TE,Ind,NA,KC,away,Sun 8:20 pm,Undisclosed,Ind,injury-report.txt
DT Sheffield,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,NYJ,injury-report.txt
Terion Stewart,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Dee Eskridge,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Jonathan Ward,RB,RB,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
EJ Smith,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,Undisclosed,KC,injury-report.txt
Terrace Marshall Jr.,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Dan Chisena,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,Undisclosed,Car,injury-report.txt
Kole Wilson,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Dan Villari,TE,TE,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Harrison Bryant,TE,TE,Hou,NA,Cin,home,Sun 1:00 pm,Undisclosed,Hou,injury-report.txt
Austin Trammell,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Will Ferrin,K,K,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Sal Cannella,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Jaret Patterson,RB,RB,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Michael Bandy,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Brandon Smith,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Adam Prentice,RB,RB,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Luke Drzewiecki,K,K,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Gabe Davis,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,Knee - ACL,Buf,injury-report.txt
Tarik Black,WR,WR,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Aaron Anderson,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,Undisclosed,Cle,injury-report.txt
Jack Stoll,TE,TE,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Shane Buechele,QB,QB,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Albert Okwuegbunam Jr.,TE,TE,LV,,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
TJ Harden,RB,RB,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Jordan Hudson,WR,WR,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
DJ Turner,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,Undisclosed,LV,injury-report.txt
Shane Zylstra,TE,TE,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,NE,injury-report.txt
Lake McRee,TE,TE,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Chamon Metayer,TE,TE,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Dominic Richardson,RB,RB,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,NYJ,injury-report.txt
Gabriel Plascencia,K,K,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Ja'Mori Maclin,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Gary Brightwell,RB,RB,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Max Tomczak,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Khalil Herbert,RB,RB,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Josiah Deguara,TE,TE,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Kobe Prentice,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Josh Kattus,TE,TE,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Cornell Powell,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Jermar Jefferson,RB,RB,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Min,injury-report.txt
Tim Jones,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Lance Mason,TE,TE,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Kenny Yeboah,TE,TE,Ari,NA,Sea,home,Sun 4:25 pm,Hamstring,Ari,injury-report.txt
Noah Thomas,WR,WR,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Kevorian Barnes,RB,RB,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Antonio Gibson,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,Knee - ACL,NE,injury-report.txt
Davon Booth,RB,RB,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Adam Randall,RB,RB,Bal,IR-R,NO,home,Sun 1:00 pm,Undisclosed,Bal,injury-report.txt
Christian Kirk,WR,WR,SF,IR-R,Mia,home,Sun 4:25 pm,Calf,SF,injury-report.txt
Beaux Collins,WR,WR,Atl,IR-R,Car,home,Sun 1:00 pm,Undisclosed,Atl,injury-report.txt
Scott Matlock,RB,RB,LAC,IR-R,LV,home,Sun 4:05 pm,Undisclosed,LAC,injury-report.txt
Caleb Lohner,TE,TE,Den,IR-R,Jax,home,Sun 4:05 pm,Lower Body,Den,injury-report.txt
Savion Williams,WR,WR,GB,IR-R,NYJ,away,Sun 1:00 pm,Ankle,GB,injury-report.txt
Will Mallory,TE,TE,Ind,IR-R,KC,away,Sun 8:20 pm,Thumb,Ind,injury-report.txt
Trevor Etienne,RB,RB,Car,IR-R,Atl,away,Sun 1:00 pm,Ankle,Car,injury-report.txt
Carter Runyon,TE,TE,LV,IR-R,LAC,away,Sun 4:05 pm,Undisclosed,LV,injury-report.txt
David Sills V,WR,WR,TB,IR-R,Cle,home,Sun 1:00 pm,Undisclosed,TB,injury-report.txt
Jordyn Tyson,WR,WR,NO,IR-R,Bal,away,Sun 1:00 pm,Hamstring,NO,injury-report.txt
Irv Charles,WR,WR,Sea,IR-R,Ari,away,Sun 4:25 pm,Undisclosed,Sea,injury-report.txt
Grant Calcaterra,TE,TE,Phi,IR-R,Ten,away,Sun 1:00 pm,Back,Phi,injury-report.txt
Jeremy McNichols,RB,RB,Was,IR-R,Dal,away,Sun 4:25 pm,Quadriceps,Was,injury-report.txt
Dillon Gabriel,QB,QB,Cle,IR-R,TB,away,Sun 1:00 pm,Back,Cle,injury-report.txt
Tank Dell,WR,WR,Hou,IR-R,Cin,home,Sun 1:00 pm,Knee - ACL + MCL,Hou,injury-report.txt
James Conner,RB,RB,Ari,IR-R,Sea,home,Sun 4:25 pm,Foot,Ari,injury-report.txt
Ty Chandler,RB,RB,NO,IR,Bal,away,Sun 1:00 pm,Knee,NO,injury-report.txt
Cole Turner,TE,TE,Mia,IR,SF,away,Sun 4:25 pm,Undisclosed,Mia,injury-report.txt
Dont'e Thornton Jr.,WR,WR,LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,LV,injury-report.txt
Hayden Large,TE,TE,Chi,IR,Min,home,Sun 1:00 pm,Undisclosed,Chi,injury-report.txt
Calvin Austin III,WR,WR,NYG,IR,LAR,away,Mon 8:15 pm,Knee,NYG,injury-report.txt
Dylan Sampson,RB,RB,Cle,IR,TB,away,Sun 1:00 pm,Knee,Cle,injury-report.txt
Chris Collier,RB,RB,LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,LV,injury-report.txt
Skylar Thompson,QB,QB,Bal,IR,NO,home,Sun 1:00 pm,Undisclosed,Bal,injury-report.txt
Brittain Brown,RB,RB,Chi,IR,Min,home,Sun 1:00 pm,Undisclosed,Chi,injury-report.txt
KeAndre Lambert-Smith,WR,WR,LAC,IR,LV,home,Sun 4:05 pm,Hamstring,LAC,injury-report.txt
Moliki Matavao,TE,TE,NO,IR,Bal,away,Sun 1:00 pm,Knee,NO,injury-report.txt
Tim Patrick,WR,WR,NYJ,IR,GB,home,Sun 1:00 pm,Groin,NYJ,injury-report.txt
Nikola Kalinic,TE,TE,Chi,IR,Min,home,Sun 1:00 pm,Knee,Chi,injury-report.txt
Matthew Caldwell,QB,QB,LAR,IR,NYG,home,Mon 8:15 pm,Undisclosed,LAR,injury-report.txt
Isiah Pacheco,RB,RB,Det,IR,Buf,away,Thu 8:15 pm,Back,Det,injury-report.txt
Jeremiah Webb,WR,WR,NE,IR,Pit,home,Sun 1:00 pm,Arm,NE,injury-report.txt
Trey Sermon,RB,RB,Atl,IR,Car,home,Sun 1:00 pm,Undisclosed,Atl,injury-report.txt
Cole Burgess,WR,WR,Pit,IR,NE,away,Sun 1:00 pm,Undisclosed,Pit,injury-report.txt
DJ Rogers,TE,TE,Dal,IR,Was,home,Sun 4:25 pm,Knee,Dal,injury-report.txt
Jordan Mason,RB,RB,Min,IR,Chi,away,Sun 1:00 pm,Thumb,Min,injury-report.txt
John Michael Gyllenborg,TE,TE,KC,,Ind,home,Sun 8:20 pm,Knee,KC,injury-report.txt
Graham Mertz,QB,QB,Hou,IR,Cin,home,Sun 1:00 pm,Knee - ACL,Hou,injury-report.txt
Robbie Ouzts,RB,"RB,TE",Sea,IR,Ari,away,Sun 4:25 pm,Neck,Sea,injury-report.txt
Thomas Yassmin,TE,TE,GB,IR,NYJ,away,Sun 1:00 pm,Undisclosed,GB,injury-report.txt
Ben Yurosek,TE,TE,Min,IR,Chi,away,Sun 1:00 pm,Undisclosed,Min,injury-report.txt
Jake Tonges,TE,TE,SF,IR,Mia,home,Sun 4:25 pm,Knee - MCL,SF,injury-report.txt
Jayden Higgins,WR,WR,Hou,IR,Cin,home,Sun 1:00 pm,Knee - ACL,Hou,injury-report.txt
Malik Davis,RB,RB,Dal,IR,Was,home,Sun 4:25 pm,Hip,Dal,injury-report.txt
Julian Hill,TE,TE,NE,IR,Pit,home,Sun 1:00 pm,Knee,NE,injury-report.txt
Ja'Kobi Lane,WR,WR,Bal,IR,NO,home,Sun 1:00 pm,Wrist,Bal,injury-report.txt
Ricky Pearsall,WR,WR,SF,IR,Mia,home,Sun 4:25 pm,Knee - PCL,SF,injury-report.txt
Jake Bobo,WR,WR,Sea,IR,Ari,away,Sun 4:25 pm,Knee,Sea,injury-report.txt
Chip Trayanum,RB,RB,NYJ,IR,GB,home,Sun 1:00 pm,Neck,NYJ,injury-report.txt
Trey Benson,RB,RB,Ari,IR,Sea,home,Sun 4:25 pm,Knee,Ari,injury-report.txt
Kendrick Law,WR,WR,Det,IR,Buf,away,Thu 8:15 pm,Knee - ACL,Det,injury-report.txt
Gunner Olszewski,WR,WR,NYG,IR,LAR,away,Mon 8:15 pm,Achilles,NYG,injury-report.txt
D.J. Montgomery,WR,WR,Ind,IR,KC,away,Sun 8:20 pm,Abdomen,Ind,injury-report.txt
Carson Towt,TE,TE,Ind,IR,KC,away,Sun 8:20 pm,Undisclosed,Ind,injury-report.txt
Jameson Geers,TE,TE,Ari,IR,Sea,home,Sun 4:25 pm,Undisclosed,Ari,injury-report.txt
Corey Rucker,WR,WR,LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,LV,injury-report.txt
Eli Stowers,TE,TE,Phi,IR,Ten,away,Sun 1:00 pm,Hamstring,Phi,injury-report.txt
Jaren Kanak,TE,TE,Ten,IR,Phi,home,Sun 1:00 pm,Pectoral,Ten,injury-report.txt
Audric Estime,RB,RB,NO,IR,Bal,away,Sun 1:00 pm,Thigh,NO,injury-report.txt
Princeton Fant,TE,TE,Dal,IR,Was,home,Sun 4:25 pm,Knee - ACL + MCL,Dal,injury-report.txt
A.J. Brown,WR,WR,NE,IR,Pit,home,Sun 1:00 pm,Ankle,NE,injury-report.txt
Chris Brazzell II,WR,WR,Car,IR,Atl,away,Sun 1:00 pm,Knee,Car,injury-report.txt
Justin Shorter,WR,"WR,TE",LV,IR,LAC,away,Sun 4:05 pm,Undisclosed,LV,injury-report.txt
Jeff Caldwell,WR,WR,KC,IR,Ind,home,Sun 8:20 pm,Knee,KC,injury-report.txt
Jimmy Holiday,WR,WR,KC,IR,Ind,home,Sun 8:20 pm,Undisclosed,KC,injury-report.txt
Myles Montgomery,RB,RB,NE,IR,Pit,home,Sun 1:00 pm,Undisclosed,NE,injury-report.txt
Johnny Wilson,WR,WR,Phi,IR,Ten,away,Sun 1:00 pm,Knee,Phi,injury-report.txt
Josh Jacobs,RB,RB,GB,,NYJ,away,Sun 1:00 pm,Personal,GB,injury-report.txt
