player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,gp,bye,fan_pts,rank_preseason,rank_actual,pct_rostered,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost,source_file
Carson Towt,TE,TE,Ind,IR,KC,away,Sun 8:20 pm,FA,,13,0.00,2145,992,0,,,,,,,,,,,,,,te.txt
Moliki Matavao,TE,TE,NO,IR,Bal,away,Sun 1:00 pm,FA,,8,0.00,2226,704,0,,,,,,,,,,,,,,te.txt
Thomas Fidone II,TE,TE,NYG,,LAR,away,Mon 8:15 pm,FA,,8,0.00,2147,702,0,,,,,,,,,,,,,,te.txt
Jalen Coker,WR,WR,Car,Q,Atl,away,Sun 1:00 pm,Max’s TD Bombers,1,5,29.80,113,8,67,0,0,0,0,0,0,9,8,138,2,0,0,0,wr.txt
Christian Watson,WR,WR,GB,,NYJ,away,Sun 1:00 pm,Sunday Kevin,1,11,29.70,52,10,97,0,0,0,0,0,0,8,6,147,2,0,0,0,wr.txt
Justin Jefferson,WR,WR,Min,,Chi,away,Sun 1:00 pm,Maybe Mitchell,1,6,27.20,13,13,100,0,0,0,0,0,0,9,8,92,2,0,1,0,wr.txt
Amon-Ra St. Brown,WR,WR,Det,,Buf,away,Thu 8:15 pm,Sunday Kevin,1,6,23.70,7,20,100,0,0,0,0,0,0,14,10,67,2,0,0,0,wr.txt
Zay Flowers,WR,WR,Bal,Q,NO,home,Sun 1:00 pm,Jason's Jazzy Team,1,13,23.50,32,22,100,0,0,0,0,0,0,6,5,150,1,0,0,0,wr.txt
Chris Olave,WR,WR,NO,,Bal,away,Sun 1:00 pm,Sunday Kevin,1,8,23.20,24,23,100,0,0,0,0,0,0,13,10,182,0,0,0,0,wr.txt
Jaxon Smith-Njigba,WR,WR,Sea,,Ari,away,Sun 4:25 pm,Maybe Mitchell,1,11,22.20,8,25,100,0,0,0,0,0,0,11,8,122,1,0,0,0,wr.txt
DJ Moore,WR,WR,Buf,,Det,home,Thu 8:15 pm,Bone Crushers,1,7,18.50,45,36,97,0,0,0,0,0,0,8,5,100,1,0,0,0,wr.txt
Nico Collins,WR,WR,Hou,Q,Cin,home,Sun 1:00 pm,Steel City,1,8,17.70,18,39,100,0,0,0,1,7,0,10,7,75,1,0,0,0,wr.txt
Parker Washington,WR,WR,Jax,,Den,away,Sun 4:05 pm,Max’s TD Bombers,1,7,16.80,54,43,95,0,0,0,0,0,0,6,5,83,1,0,0,0,wr.txt
Ladd McConkey,WR,WR,LAC,Q,LV,home,Sun 4:05 pm,Bone Crushers,1,7,16.70,41,44,98,0,0,0,0,0,0,7,5,82,1,0,0,0,wr.txt
Devaughn Vele,WR,WR,NO,,Bal,away,Sun 1:00 pm,FA,1,8,16.40,205,48,21,0,0,0,0,0,0,9,7,69,1,0,0,0,wr.txt
Deebo Samuel Sr.,WR,WR,SF,,Mia,home,Sun 4:25 pm,Max’s TD Bombers,1,8,15.00,154,57,58,0,0,0,1,12,0,7,6,48,1,0,0,0,wr.txt
Antonio Williams,WR,WR,Was,,Dal,away,Sun 4:25 pm,FA,1,7,14.40,238,59,6,0,0,0,0,0,0,4,4,64,1,0,0,0,wr.txt
Dontayvion Wicks,WR,WR,Phi,,Ten,away,Sun 1:00 pm,FA,1,10,14.30,152,60,21,0,0,0,0,0,0,4,2,73,1,0,0,0,wr.txt
Mike Evans,WR,WR,SF,,Mia,home,Sun 4:25 pm,Owl Out Blitz,1,8,13.90,60,65,96,0,0,0,0,0,0,7,6,49,1,0,0,0,wr.txt
Stefon Diggs,WR,WR,Was,,Dal,away,Sun 4:25 pm,Monday Night Madison,1,7,13.50,97,66,87,0,0,0,0,0,0,9,4,55,1,0,0,0,wr.txt
Denzel Boston,WR,WR,Cle,,TB,away,Sun 1:00 pm,FA,1,11,12.90,144,74,29,0,0,0,0,0,0,4,2,59,1,0,0,0,wr.txt
CeeDee Lamb,WR,WR,Dal,,Was,home,Sun 4:25 pm,Owl Out Blitz,1,14,12.90,12,75,100,0,0,0,1,0,0,8,5,44,1,0,0,0,wr.txt
Matthew Golden,WR,WR,GB,,NYJ,away,Sun 1:00 pm,Owl Out Blitz,1,11,12.50,99,79,78,0,0,0,0,0,0,12,6,95,0,0,0,0,wr.txt
Kalif Raymond,WR,WR,Chi,,Min,home,Sun 1:00 pm,FA,1,10,12.40,350,80,4,0,0,0,0,0,0,9,8,84,0,0,0,0,wr.txt
Demarcus Robinson,WR,WR,SF,,Mia,home,Sun 4:25 pm,FA,1,8,12.00,2078,84,2,0,0,0,0,0,0,3,2,50,1,0,0,0,wr.txt
Caleb Douglas,WR,WR,Mia,,SF,away,Sun 4:25 pm,FA,1,6,11.90,179,89,22,0,0,0,0,0,0,7,5,94,0,0,0,0,wr.txt
Kendrick Bourne,WR,WR,Ari,,Sea,home,Sun 4:25 pm,FA,1,14,11.50,348,95,2,0,0,0,0,0,0,8,8,75,0,0,0,0,wr.txt
Jakobi Meyers,WR,WR,Jax,Q,Den,away,Sun 4:05 pm,Locked In Michelle,1,7,11.20,127,99,51,0,0,0,1,2,0,2,2,40,1,0,0,0,wr.txt
Garrett Wilson,WR,WR,NYJ,,GB,home,Sun 1:00 pm,Steel City,1,13,10.90,36,102,98,0,0,0,0,0,0,7,6,79,0,0,0,0,wr.txt
Joshua Palmer,WR,WR,Buf,,Det,home,Thu 8:15 pm,FA,1,7,9.90,292,111,0,0,0,0,0,0,0,2,1,34,1,0,0,0,wr.txt
Puka Nacua,WR,WR,LAR,,NYG,home,Mon 8:15 pm,Owl Out Blitz,1,11,9.90,4,112,100,0,0,0,0,0,0,9,5,74,0,0,0,0,wr.txt
Malik Nabers,WR,WR,NYG,,LAR,away,Mon 8:15 pm,Sunday Kevin,1,8,9.90,25,113,99,0,0,0,0,0,0,9,6,69,0,0,0,0,wr.txt
Jack Bech,WR,WR,LV,,LAC,away,Sun 4:05 pm,FA,1,13,9.80,236,114,1,0,0,0,0,0,0,4,3,23,1,0,0,0,wr.txt
Josh Cameron,WR,WR,Jax,,Den,away,Sun 4:05 pm,FA,1,7,9.00,2134,123,0,0,0,0,0,0,0,2,2,20,1,0,0,0,wr.txt
Rashee Rice,WR,WR,KC,,Ind,home,Sun 8:20 pm,Locked In Michelle,1,5,8.90,39,124,99,0,0,0,0,0,0,2,2,19,1,0,0,0,wr.txt
Emeka Egbuka,WR,WR,TB,,Cle,home,Sun 1:00 pm,Monday Night Madison,1,10,8.80,43,126,98,0,0,0,0,0,0,6,5,63,0,0,0,0,wr.txt
