player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,gp,bye,fan_pts,rank_preseason,rank_actual,pct_rostered,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost,source_file
Chris Bell,WR,WR,Mia,,SF,away,Sun 4:25 pm,FA,1,6,3.00,206,252,7,0,0,0,0,0,0,2,1,25,0,0,0,0,wr.txt
Quentin Johnston,WR,WR,LAC,,LV,home,Sun 4:05 pm,Sunday Kevin,1,7,2.70,89,260,84,0,0,0,0,0,0,6,2,17,0,0,0,0,wr.txt
Kayshon Boutte,WR,WR,Hou,,Cin,home,Sun 1:00 pm,FA,1,8,2.60,177,261,20,0,0,0,0,0,0,2,1,21,0,0,0,0,wr.txt
LaJohntay Wester,WR,WR,Bal,,NO,home,Sun 1:00 pm,FA,1,13,2.50,2760,263,0,0,0,0,0,0,0,2,2,15,0,0,0,0,wr.txt
Jahan Dotson,WR,WR,Atl,,Car,home,Sun 1:00 pm,FA,1,11,2.40,234,267,1,0,0,0,0,0,0,3,1,19,0,0,0,0,wr.txt
Terry McLaurin,WR,WR,Was,,Dal,away,Sun 4:25 pm,Monday Night Madison,1,7,2.40,47,266,97,0,0,0,0,0,0,4,2,14,0,0,0,0,wr.txt
Ja'Marr Chase,WR,WR,Cin,,Hou,away,Sun 1:00 pm,Steel City,1,6,2.20,3,274,100,0,0,0,0,0,0,4,2,12,0,0,0,0,wr.txt
Andrei Iosivas,WR,WR,Cin,,Hou,away,Sun 1:00 pm,FA,1,6,2.20,321,275,0,0,0,0,0,0,0,3,2,12,0,0,0,0,wr.txt
Courtland Sutton,WR,WR,Den,,Jax,home,Sun 4:05 pm,JGrahnasaurs,1,10,2.10,100,277,85,0,0,0,0,0,0,5,2,11,0,0,0,0,wr.txt
Jared Wayne,WR,WR,Hou,,Cin,home,Sun 1:00 pm,FA,1,8,1.70,2504,290,0,0,0,0,0,0,0,1,1,12,0,0,0,0,wr.txt
