"key","player","pos","nfl_team","pct_rostered","fan_pts","gsis_id","player.nfl","pos.nfl","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"bryce young","Bryce Young","QB","Car",19,32.44,"00-0039150","Bryce Young","QB","CAR",2,3,1.5,0,3,0,0.0681818181818182,0.92,56.52,28.26,16,1,-1,18.84,0.214285714285714,5.14754098360656,"FADE points on no volume"
"tyler shough","Tyler Shough","QB","NO",43,25.2,"00-0040743","Tyler Shough","QB","NO",2,13,6.5,0,13,0,0.246666666666667,1,47.58,23.79,31,1,5,3.66,0.928571428571429,1,"hold volume + results"
"jordan love","Jordan Love","QB","GB",69,20.48,"00-0036264","Jordan Love","QB","GB",2,1,0.5,0,1,0,0.0238095238095238,1,34.28,17.14,0,0,-1,34.28,0.0476190476190476,9.36612021857924,"FADE points on no volume"
"carson wentz","Carson Wentz","QB","Min",2,19.22,"00-0032950","Carson Wentz","QB","MIN",2,8,4,0,8,0,0.127100840336134,0.915,25.54,12.77,5,0,-2,3.1925,0.571428571428571,0.872267759562842,"-"
"malik willis","Malik Willis","QB","Mia",38,17.7,"00-0038128","Malik Willis","QB","MIA",2,8,4,0,8,0,0.202380952380952,1,30.18,15.09,45,1,-4,3.7725,0.571428571428571,1.03073770491803,"-"
"jacoby brissett","Jacoby Brissett","QB","Ari",7,16.48,"00-0033119","Jacoby Brissett","QB","ARI",2,7,3.5,0,7,0,0.117647058823529,1,23.98,11.99,21,0,-5,3.42571428571429,0.547619047619048,0.935987509758002,"-"
"cj stroud","C.J. Stroud","QB","Hou",32,16.46,"00-0039163","C.J. Stroud","QB","HOU",2,5,2.5,0,5,0,0.114583333333333,1,33.48,16.74,44,0,1,6.696,0.404761904761905,1.82950819672131,"FADE points on no volume"
"kirk cousins","Kirk Cousins","QB","LV",4,15.8,"00-0029604","Kirk Cousins","QB","LV",2,9,4.5,0,9,0,0.140873015873016,1,37.02,18.51,-5,0,-1,4.11333333333333,0.714285714285714,1.12386156648452,"-"
"deshaun watson","Deshaun Watson","QB","Cle",2,15,"00-0033537","Deshaun Watson","QB","CLE",2,13,6.5,0,13,0,0.288537549407115,1,34.72,17.36,60,0,1,2.67076923076923,0.928571428571429,0.729718369062631,"BUY  volume, results lagging"
"drew lock","Drew Lock","QB","Sea",1,12.78,"00-0035704","Drew Lock","QB","SEA",2,2,1,0,2,0,0.0454545454545455,0.95,34.18,17.09,13,0,-2,17.09,0.0714285714285714,4.66939890710383,"FADE points on no volume"
"aaron rodgers","Aaron Rodgers","QB","Pit",10,12.54,"00-0023459","Aaron Rodgers","QB","PIT",2,4,2,0,4,0,0.093167701863354,0.98,17.52,8.76,2,0,-2,4.38,0.238095238095238,1.19672131147541,"-"
"cam ward","Cam Ward","QB","Ten",11,11.7,"00-0040676","Cam Ward","QB","TEN",2,8,4,0,8,0,0.211822660098522,1,31.72,15.86,28,2,0,3.965,0.571428571428571,1.08333333333333,"-"
"daniel jones","Daniel Jones","QB","Ind",23,10.04,"00-0035710","Daniel Jones","QB","IND",2,4,2,0,4,0,0.071875,1,22.44,11.22,14,0,2,5.61,0.238095238095238,1.5327868852459,"FADE points on no volume"
"geno smith","Geno Smith","QB","NYJ",5,9.3,"00-0030565","Geno Smith","QB","NYJ",2,11,5.5,0,11,0,0.16951566951567,1,24.88,12.44,24,0,-1,2.26181818181818,0.785714285714286,0.617983109786389,"-"
"cooper rush","Cooper Rush","QB","Atl",1,7.72,"00-0033662","Cooper Rush","QB","ATL",2,2,1,0,2,0,0.03125,0.79,9.16,4.58,20,0,2,4.58,0.0714285714285714,1.25136612021858,"-"
"kenny pickett","Kenny Pickett","QB","Car",0,2.4,"00-0038102","Kenny Pickett","QB","CAR",2,2,1,0,2,0,0.0454545454545455,0.08,2,1,20,0,0,1,0.0714285714285714,0.273224043715847,"-"
"stetson bennett","Stetson Bennett IV","QB","LAR",0,1.42,"00-0039107","Stetson Bennett","QB","LA",1,1,1,0,1,0,0.0344827586206897,0.16,1.42,1.42,9,0,NA,1.42,0.0714285714285714,0.387978142076503,"-"
"devin singletary","Devin Singletary","RB","NYG",4,11.8,"00-0035250","Devin Singletary","RB","NYG",2,14,7,5,9,0.0845905172413793,0.152509652509653,0.31,12.7,6.35,47,1,-6,0.907142857142857,0.514018691588785,1.44366432631227,"-"
"kendre miller","Kendre Miller","RB","NO",1,9,"00-0038551","Kendre Miller","RB","NO",1,9,9,0,9,0,0.36,0.29,9,9,30,1,NA,1,0.588785046728972,1.59144098963557,"-"
"tyler allgeier","Tyler Allgeier","RB","Ari",51,8,"00-0037263","Tyler Allgeier","RB","ARI",2,26,13,4,22,0.0654885654885655,0.397058823529412,0.615,10.9,5.45,89,0,-12,0.419230769230769,0.710280373831776,0.667181030270298,"-"
"emmett johnson","Emmett Johnson","RB","KC",23,7.8,"00-0041013","Emmett Johnson","RB","KC",2,14,7,4,10,0.0632558139534884,0.140977443609023,0.27,12.3,6.15,103,0,-6,0.878571428571429,0.514018691588785,1.39819458375125,"-"
"kaelon black","Kaelon Black","RB","SF",37,7.5,"00-0041052","Kaelon Black","RB","SF",2,22,11,1,21,0.0151515151515152,0.362962962962963,0.38,10,5,95,0,-8,0.454545454545455,0.607476635514019,0.72338226801617,"-"
"samaje perine","Samaje Perine","RB","Cin",4,6.5,"00-0033526","Samaje Perine","RB","CIN",2,11,5.5,4,7,0.060246679316888,0.136070853462158,0.34,9.2,4.6,72,0,-5,0.836363636363636,0.429906542056075,1.33102337314975,"FADE points on no volume"
"raheim sanders","Raheim Sanders","RB","Cle",1,4.1,"00-0040466","Raheim Sanders","RB","CLE",2,7,3.5,4,3,0.0848484848484848,0.066205533596838,0.27,5.7,2.85,37,0,-1,0.814285714285714,0.327102803738318,1.29588766298897,"-"
"mike washington","Mike Washington Jr.","RB","LV",50,4.1,"00-0040878","Mike Washington Jr.","RB","LV",2,11,5.5,1,10,0.0172413793103448,0.150793650793651,0.19,4.8,2.4,48,0,-3,0.436363636363636,0.429906542056075,0.694446977295523,"-"
