"player","pos","yteam","owner","proj","gsis_id"
"Cam Skattebo","RB","NYG","Locked In Michelle",12.91,"00-0040715"
"Bucky Irving","RB","TB","Sunday Kevin",12.35,"00-0039361"
"Quinshon Judkins","RB","Cle","Owl Out Blitz",12.3,"00-0040784"
"David Montgomery","RB","Hou","Maybe Mitchell",12.29,"00-0035685"
"Kyren Williams","RB","LAR","Locked In Michelle",11.97,"00-0037840"
"D'Andre Swift","RB","Chi","Owl Out Blitz",11.92,"00-0036275"
"Jeremiyah Love","RB","Ari","Monday Night Madison",11.68,"00-0041027"
"Jaylen Warren","RB","Pit","Dave’s Bone Crushers",11.65,"00-0037228"
"Aaron Jones Sr.","RB","Min","Locked In Michelle",11.44,"00-0033293"
"Jadarian Price","RB","Sea","Dave’s Bone Crushers",11.37,"00-0041512"
"TreVeyon Henderson","RB","NE","Steel City",10.42,"00-0040734"
"Bhayshul Tuten","RB","Jax","Steel City",9.79,"00-0040719"
"Travis Etienne Jr.","RB","NO","JGrahnasaurs",9.7,"00-0036973"
"Tony Pollard","RB","Ten","Maybe Mitchell",9.66,"00-0035261"
"Rico Dowdle","RB","Pit","W (Sep 26)",9.41,"00-0036139"
"Rhamondre Stevenson","RB","NE","Jason's Jazzy Team",9.04,"00-0036875"
"Jacory Croskey-Merritt","RB","Was","Owl Out Blitz",8.46,"00-0040242"
"RJ Harvey","RB","Den","Max’s TD Bombers",8.39,"00-0040730"
"MarShawn Lloyd","RB","GB","Steel City",8.27,"00-0039811"
"Blake Corum","RB","LAR","Maybe Mitchell",8.01,"00-0039738"
"Kyle Monangai","RB","Chi","Jason's Jazzy Team",7.63,"00-0040236"
"Woody Marks","RB","Hou","JGrahnasaurs",7.16,"00-0040583"
"Kenny Gainwell","RB","TB","JGrahnasaurs",6.74,"00-0036919"
"J.K. Dobbins","RB","Den","W (Sep 26)",5.59,"00-0036158"
"Tank Bigsby","RB","Phi","Monday Night Madison",3.33,"00-0038555"
"Jonathon Brooks","RB","Car","Sunday Kevin",0,"00-0039344"
"Jordan Mason","RB","Min","Locked In Michelle",0,"00-0037525"
"Trey McBride","TE","Ari","Maybe Mitchell",12.79,"00-0037744"
"Brock Bowers","TE","LV","Owl Out Blitz",11.24,"00-0039338"
"Dalton Kincaid","TE","Buf","Jason's Jazzy Team",9.94,"00-0038933"
"George Kittle","TE","SF","Owl Out Blitz",9.7,"00-0033288"
"Tucker Kraft","TE","GB","Max’s TD Bombers",9.49,"00-0038996"
"Sam LaPorta","TE","Det","Maybe Mitchell",9.41,"00-0039065"
"Travis Kelce","TE","KC","Sunday Kevin",9.38,"00-0030506"
"Tyler Warren","TE","Ind","Sunday Kevin",9.24,"00-0040128"
"Mark Andrews","TE","Bal","Dave’s Bone Crushers",9.17,"00-0034753"
"Hunter Henry","TE","NE","Monday Night Madison",8.62,"00-0033090"
"Dalton Schultz","TE","Hou","Jason's Jazzy Team",8.6,"00-0034383"
"Harold Fannin Jr.","TE","Cle","Locked In Michelle",8.42,"00-0040663"
"Isaiah Likely","TE","NYG","Max’s TD Bombers",8.16,"00-0037838"
"Colston Loveland","TE","Chi","Steel City",8.07,"00-0040126"
"Juwan Johnson","TE","NO","Steel City",8.01,"00-0036040"
"Jake Ferguson","TE","Dal","JGrahnasaurs",7.57,"00-0038041"
"Kyle Pitts Sr.","TE","Atl","Dave’s Bone Crushers",7.26,"00-0036970"
"Dallas Goedert","TE","Phi","Monday Night Madison",0,"00-0034351"
"Jaxon Smith-Njigba","WR","Sea","Maybe Mitchell",17.25,"00-0038543"
"Amon-Ra St. Brown","WR","Det","Sunday Kevin",16.86,"00-0036963"
"Ja'Marr Chase","WR","Cin","Steel City",16.34,"00-0036900"
"CeeDee Lamb","WR","Dal","Owl Out Blitz",15.51,"00-0036358"
"Chris Olave","WR","NO","Sunday Kevin",14.6,"00-0037239"
"Puka Nacua","WR","LAR","Owl Out Blitz",14.6,"00-0039075"
"Zay Flowers","WR","Bal","Jason's Jazzy Team",14.54,"00-0039064"
"Justin Jefferson","WR","Min","Maybe Mitchell",13.42,"00-0036322"
"George Pickens","WR","Dal","Locked In Michelle",13.37,"00-0037247"
"Nico Collins","WR","Hou","Steel City",13.29,"00-0036554"
"Christian Watson","WR","GB","Sunday Kevin",13.12,"00-0038124"
"Garrett Wilson","WR","NYJ","Steel City",12.62,"00-0037740"
"Tee Higgins","WR","Cin","Jason's Jazzy Team",12.62,"00-0036410"
"DeVonta Smith","WR","Phi","Max’s TD Bombers",12.6,"00-0036912"
"Parker Washington","WR","Jax","Max’s TD Bombers",12.13,"00-0038606"
"Drake London","WR","Atl","Dave’s Bone Crushers",11.96,"00-0037238"
"Jaylen Waddle","WR","Den","Owl Out Blitz",11.71,"00-0036613"
"Rashee Rice","WR","KC","Locked In Michelle",11.63,"00-0039067"
"Tetairoa McMillan","WR","Car","Dave’s Bone Crushers",11.58,"00-0040124"
"Mike Evans","WR","SF","Owl Out Blitz",11.3,"00-0031408"
"Malik Nabers","WR","NYG","Sunday Kevin",10.92,"00-0039337"
"Jameson Williams","WR","Det","Jason's Jazzy Team",10.82,"00-0037240"
"Jalen Coker","WR","Car","Dave’s Bone Crushers",10.54,"00-0039491"
"DK Metcalf","WR","Pit","Jason's Jazzy Team",10.3,"00-0035640"
"DJ Moore","WR","Buf","Dave’s Bone Crushers",10.16,"00-0034827"
"Josh Downs","WR","Ind","Dave’s Bone Crushers",9.96,"00-0038997"
"Davante Adams","WR","LAR","JGrahnasaurs",9.91,"00-0031381"
"Ladd McConkey","WR","LAC","Dave’s Bone Crushers",9.85,"00-0039915"
"Matthew Golden","WR","GB","Owl Out Blitz",9.49,"00-0040667"
"Emeka Egbuka","WR","TB","Monday Night Madison",9.37,"00-0040129"
"Deebo Samuel Sr.","WR","SF","Max’s TD Bombers",9.36,"00-0035719"
"Michael Wilson","WR","Ari","Maybe Mitchell",9.18,"00-0038559"
"Luther Burden III","WR","Chi","Max’s TD Bombers",9.1,"00-0040735"
"Romeo Doubs","WR","NE","Maybe Mitchell",8.97,"00-0037816"
"Courtland Sutton","WR","Den","JGrahnasaurs",8.82,"00-0034348"
"Quentin Johnston","WR","LAC","Sunday Kevin",8.52,"00-0038544"
"Terry McLaurin","WR","Was","Monday Night Madison",8.44,"00-0035659"
"KC Concepcion Jr.","WR","Cle","Steel City",8.42,"00-0041547"
"Chris Godwin Jr.","WR","TB","Steel City",7.95,"00-0033921"
"Michael Pittman Jr.","WR","Pit","Sunday Kevin",7.93,"00-0036252"
"Jordan Addison","WR","Min","W (Sep 26)",7.8,"00-0038994"
"Brian Thomas Jr.","WR","Jax","Owl Out Blitz",7.7,"00-0039893"
"Rome Odunze","WR","Chi","JGrahnasaurs",7.69,"00-0039919"
"Stefon Diggs","WR","Was","Monday Night Madison",7.55,"00-0031588"
"Marvin Harrison Jr.","WR","Ari","Locked In Michelle",7.37,"00-0039849"
"Dontayvion Wicks","WR","Phi","Monday Night Madison",7.37,"00-0038393"
"Wan'Dale Robinson","WR","Ten","JGrahnasaurs",7.28,"00-0038117"
"Jakobi Meyers","WR","Jax","Locked In Michelle",7.21,"00-0034960"
"Rashid Shaheed","WR","Sea","Maybe Mitchell",6.89,"00-0037545"
"Kalif Raymond","WR","Chi","JGrahnasaurs",4.94,"00-0032464"
"De'Zhaun Stribling","WR","SF","Maybe Mitchell",0,"00-0041035"
"Alec Pierce","WR","Ind","W (Sep 26)",0,"00-0037664"
"Jayden Reed","WR","GB","Locked In Michelle",0,"00-0039146"
"A.J. Brown","WR","NE","Monday Night Madison",0,"00-0035676"
