"gsis_id","player","pos","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"00-0037740","Garrett Wilson","WR","NYJ",2,14,7,14,0,0.2493961352657,0,0.815,25.1,12.55,136,1,0,1.79285714285714,0.847058823529412,1.45188431200701,"hold volume + results"
"00-0038559","Michael Wilson","WR","ARI",2,14,7,14,0,0.229209979209979,0,0.895,10.9,5.45,74,0,0,0.778571428571429,0.847058823529412,0.630499561787905,"BUY  volume, results lagging"
"00-0038685","Chris Brooks","RB","GB",2,14,7,3,11,0.0469827586206897,0.277777777777778,0.51,6,3,55,0,-2,0.428571428571429,0.514018691588785,0.682046138415246,"-"
"00-0038933","Dalton Kincaid","TE","BUF",2,14,7,14,0,0.25,0,0.69,34.5,17.25,225,1,2,2.46428571428571,0.934065934065934,1.71130952380952,"hold volume + results"
"00-0039299","George Holani","RB","SEA",2,14,7,2,12,0.0400641025641026,0.231818181818182,0.36,4.9,2.45,44,0,-4,0.35,0.514018691588785,0.557004346372451,"-"
"00-0039880","Malik Washington","WR","MIA",2,14,7,13,1,0.256843800322061,0.0178571428571429,0.855,11.5,5.75,100,0,-2,0.821428571428571,0.847058823529412,0.665205959684487,"BUY  volume, results lagging"
"00-0040730","RJ Harvey","RB","DEN",1,7,7,4,3,0.148148148148148,0.2,0.51,6.1,6.1,41,0,NA,0.871428571428571,0.514018691588785,1.386827148111,"-"
"00-0041013","Emmett Johnson","RB","KC",2,14,7,4,10,0.0632558139534884,0.140977443609023,0.27,12.3,6.15,103,0,-6,0.878571428571429,0.514018691588785,1.39819458375125,"-"
"00-0033537","Deshaun Watson","QB","CLE",2,13,6.5,0,13,0,0.288537549407115,1,34.72,17.36,60,0,1,2.67076923076923,0.928571428571429,0.729718369062631,"BUY  volume, results lagging"
"00-0034753","Mark Andrews","TE","BAL",2,13,6.5,13,0,0.245689655172414,0,0.715,14.8,7.4,98,0,1,1.13846153846154,0.912087912087912,0.790598290598291,"BUY  volume, results lagging"
"00-0035659","Terry McLaurin","WR","WAS",2,13,6.5,13,0,0.20131845841785,0,0.785,8.4,4.2,64,0,5,0.646153846153846,0.794117647058823,0.523265691363851,"-"
"00-0035719","Deebo Samuel Sr.","WR","SF",2,13,6.5,11,2,0.211323763955343,0.0351851851851852,NA,20,10,95,1,-3,1.53846153846154,0.794117647058823,1.24587069372345,"-"
"00-0036613","Jaylen Waddle","WR","DEN",2,13,6.5,13,0,0.234126984126984,0,0.68,18.5,9.25,140,0,7,1.42307692307692,0.794117647058823,1.1524303916942,"-"
"00-0036900","Ja'Marr Chase","WR","CIN",2,13,6.5,13,0,0.203984819734345,0,0.91,25.2,12.6,87,2,5,1.93846153846154,0.794117647058823,1.56979707409155,"-"
"00-0037240","Jameson Williams","WR","DET",2,13,6.5,13,0,0.168016194331984,0,0.905,10.8,5.4,78,0,-5,0.830769230769231,0.794117647058823,0.672770174610665,"-"
"00-0038997","Josh Downs","WR","IND",2,13,6.5,13,0,0.218965517241379,0,0.86,15.4,7.7,109,0,5,1.18461538461538,0.794117647058823,0.95932043416706,"-"
"00-0039337","Malik Nabers","WR","NYG",2,13,6.5,13,0,0.217672413793103,0,0.63,10.5,5.25,70,0,-5,0.807692307692308,0.794117647058823,0.654082114204814,"-"
"00-0039894","Xavier Worthy","WR","KC",2,13,6.5,13,0,0.201395348837209,0,0.815,14.3,7.15,43,1,1,1.1,0.794117647058823,0.89079754601227,"-"
"00-0040128","Tyler Warren","TE","IND",2,13,6.5,12,1,0.202873563218391,0.015625,0.91,20.2,10.1,37,2,3,1.55384615384615,0.912087912087912,1.07905982905983,"hold volume + results"
"00-0040735","Luther Burden III","WR","CHI",2,13,6.5,12,1,0.212820512820513,0.0128205128205128,NA,11.7,5.85,97,0,1,0.9,0.794117647058823,0.728834355828221,"-"
"00-0040743","Tyler Shough","QB","NO",2,13,6.5,0,13,0,0.246666666666667,1,47.58,23.79,31,1,5,3.66,0.928571428571429,1,"hold volume + results"
"00-0041496","Jonah Coleman","RB","DEN",2,13,6.5,3,10,0.0535714285714286,0.178571428571429,0.23,13.3,6.65,58,1,13,1.02307692307692,0.504672897196262,1.62816655093486,"-"
"00-0036389","Jalen Hurts","QB","PHI",2,12,6,0,12,0,0.218125,1,42.88,21.44,62,0,-2,3.57333333333333,0.880952380952381,0.97632058287796,"hold volume + results"
"00-0036919","Kenny Gainwell","RB","TB",2,12,6,5,7,0.0791245791245791,0.165,NA,5.3,2.65,33,0,0,0.441666666666667,0.457943925233645,0.702886437089045,"-"
"00-0037261","Khalil Shakir","WR","BUF",2,12,6,12,0,0.214285714285714,0,0.51,12.3,6.15,88,0,0,1.025,0.764705882352941,0.830061349693252,"-"
"00-0037557","Ronnie Rivers","RB","LA",1,6,6,1,5,0.037037037037037,0.172413793103448,0.13,2.9,2.9,24,0,NA,0.483333333333333,0.457943925233645,0.769196478323861,"-"
"00-0038544","Quentin Johnston","WR","LAC",2,12,6,11,1,0.207264957264957,0.015625,0.795,4.6,2.3,31,0,0,0.383333333333333,0.764705882352941,0.310429447852761,"-"
"00-0038611","Chris Rodriguez Jr.","RB","JAX",2,12,6,0,12,0,0.221774193548387,NA,3.6,1.8,36,0,0,0.3,0.457943925233645,0.477432296890672,"-"
"00-0039064","Zay Flowers","WR","BAL",1,6,6,6,0,0.25,0,0.29,23.5,23.5,150,1,NA,3.91666666666667,0.764705882352941,3.17177914110429,"-"
"00-0039344","Jonathon Brooks","RB","CAR",2,12,6,3,9,0.0450367647058824,0.204545454545455,0.245,8.3,4.15,73,0,0,0.691666666666667,0.457943925233645,1.10074668449794,"-"
"00-0039739","Roman Wilson","WR","PIT",2,12,6,12,0,0.162162162162162,0,0.67,9.4,4.7,54,0,0,0.783333333333333,0.764705882352941,0.634355828220859,"-"
"00-0039746","Will Shipley","RB","PHI",2,12,6,3,9,0.0521390374331551,0.149375,0.345,5.6,2.8,41,0,6,0.466666666666667,0.457943925233645,0.742672461829934,"-"
"00-0039910","Jayden Daniels","QB","WAS",2,12,6,0,12,0,0.1875,0.775,32.4,16.2,100,0,2,2.7,0.880952380952381,0.737704918032787,"BUY  volume, results lagging"
"00-0040129","Emeka Egbuka","WR","TB",2,12,6,11,1,0.186868686868687,0.02,0.86,17.6,8.8,76,1,0,1.46666666666667,0.764705882352941,1.18773006134969,"-"
"00-0030279","Keenan Allen","WR","IND",2,11,5.5,11,0,0.186781609195402,0,0.59,7.2,3.6,37,0,-1,0.654545454545455,0.723529411764706,0.530061349693251,"-"
"00-0030565","Geno Smith","QB","NYJ",2,11,5.5,0,11,0,0.16951566951567,1,24.88,12.44,24,0,-1,2.26181818181818,0.785714285714286,0.617983109786389,"-"
"00-0033307","Kendrick Bourne","WR","ARI",2,11,5.5,11,0,0.165800415800416,0,0.635,13.6,6.8,86,0,-5,1.23636363636364,0.723529411764706,1.00122699386503,"-"
"00-0033526","Samaje Perine","RB","CIN",2,11,5.5,4,7,0.060246679316888,0.136070853462158,0.34,9.2,4.6,72,0,-5,0.836363636363636,0.429906542056075,1.33102337314975,"FADE points on no volume"
"00-0034796","Lamar Jackson","QB","BAL",2,11,5.5,0,11,0,0.185503685503686,1,40.76,20.38,74,1,-3,3.70545454545455,0.785714285714286,1.01241927471436,"-"
"00-0034975","Justice Hill","RB","BAL",2,11,5.5,3,8,0.055316091954023,0.126535626535627,0.465,6.1,3.05,46,0,-3,0.554545454545455,0.429906542056075,0.882526366979727,"-"
"00-0036040","Juwan Johnson","TE","NO",2,11,5.5,11,0,0.129807692307692,0,0.685,21.5,10.75,120,1,-3,1.95454545454545,0.868131868131868,1.35732323232323,"hold volume + results"
